,verbs,freq
0,appears,106
1,observed,1531
2,siede,1
3,demonstrate,88
4,interact,10
5,fire,2
6,associated,1141
7,found,1837
8,infected,38
9,reported,2558
10,brodribb,2
11,testing,79
12,beg,3
13,concur,11
14,analyzed,46
15,poon,1
16,indicating,215
17,ranges,21
18,sperm,1
19,may,1430
20,sensitive,4
21,caused,143
22,inbreeding,4
23,flies,5
24,drosophila,4
25,interpreting,5
26,supporting,275
27,stabilizing,6
28,theory,1
29,wright,6
30,amp,133
31,imagination,1
32,measured,294
33,study,767
34,assessing,30
35,zabrucky,1
36,reporting,99
37,mean,76
38,remained,69
39,respond,11
40,concerning,23
41,eating,16
42,predicts,24
43,create,8
44,could,583
45,confused,1
46,lead,95
47,employed,31
48,guided,4
49,used,509
50,asked,8
51,reflect,73
52,based,369
53,opposed,19
54,inflated,1
55,enantiomer,1
56,described,359
57,wherein,8
58,assays,3
59,graduates,1
60,felt,19
61,helped,12
62,enhance,29
63,finding,607
64,impact,21
65,scores,24
66,genome,5
67,kanchi,1
68,sequenced,3
69,using,708
70,affecting,40
71,occur,46
72,support,122
73,germline,4
74,develop,34
75,subset,41
76,derived,92
77,reveal,24
78,blindfolded,1
79,affects,22
80,expected,247
81,thompson,1
82,threshold,9
83,perceived,61
84,moves,1
85,needed,87
86,following,253
87,slowed,4
88,describing,37
89,understanding,39
90,requires,18
91,mms,1
92,combined,84
93,signaling,149
94,mediated,74
95,context,9
96,mouse,36
97,shown,833
98,bcc,3
99,rise,8
100,keeping,114
101,vitro,34
102,insulin,18
103,stimulates,7
104,circulating,54
105,compared,1109
106,show,286
107,suggest,412
108,act,22
109,administered,63
110,achieved,112
111,enhanced,98
112,required,103
113,increased,958
114,pregnancy,4
115,play,100
116,protect,6
117,increasing,201
118,mellitus,16
119,showed,876
120,altitude,1
121,extend,78
122,benefit,34
123,bmi,6
124,psv,1
125,correlated,145
126,moderate,20
127,hallmark,1
128,tinnitus,2
129,aied,1
130,known,194
131,involves,25
132,leading,101
133,seen,308
134,presented,157
135,onset,69
136,hearing,3
137,determined,79
138,discussed,55
139,noteworthy,1
140,ratio,27
141,diagnosed,42
142,protocol,7
143,kuragaki,1
144,involved,122
145,according,97
146,containing,44
147,detected,202
148,legh,1
149,fall,5
150,equated,1
151,extract,1
