,nouns,freq
0,monteith,2
1,environment,70
2,experiments,294
3,larvae,10
4,work,357
5,details,17
6,methods,135
7,relationship,394
8,egg,19
9,size,345
10,mass,125
11,dispersal,9
12,absence,161
13,care,121
14,variables,67
15,phenotypes,23
16,peay,1
17,case,278
18,reports,608
19,overlap,3
20,community,47
21,composition,52
22,species,225
23,predominance,32
24,multiple,9
25,host,32
26,horton,1
27,bruns,1
28,kranabetter,1
29,study,5044
30,patients,2404
31,weeks,164
32,induction,152
33,therapy,132
34,adalimumab,6
35,eow,2
36,maintenance,29
37,month,31
38,response,618
39,week,29
40,responses,242
41,regimen,19
42,rates,515
43,studies,3794
44,variability,85
45,sample,263
46,sizes,24
47,treatment,658
48,psv,4
49,individuals,270
50,findings,1528
51,incidence,295
52,adr,5
53,infliximab,9
54,surveillance,14
55,psoriasis,3
56,infections,75
57,pbl,1
58,way,56
59,students,24
60,context,29
61,perceptions,14
62,perception,27
63,opinions,6
64,analysis,452
65,differences,1265
66,curricula,1
67,points,37
68,percentage,123
69,dropout,4
70,number,548
71,treatments,64
72,rytwinsky,1
73,amp,570
74,feeny,1
75,dropouts,1
76,sessions,34
77,time,575
78,frame,6
79,fact,386
80,format,1
81,view,76
82,research,307
83,mediators,21
84,moderators,7
85,effects,754
86,subsamples,2
87,data,1156
88,childhood,74
89,abuse,58
90,wagenmans,4
91,jongh,4
92,subtype,21
93,zoet,2
94,minnen,7
95,results,2515
96,programme,21
97,limitation,21
98,quality,64
99,carry,2
100,cases,510
101,status,246
102,share,20
103,pneumonia,17
104,period,230
105,ipd,5
106,meningitis,5
107,result,361
108,interaction,140
109,presentations,7
110,estimates,118
111,burden,48
112,england,10
113,range,282
114,hospital,54
115,admissions,32
116,year,98
117,children,534
118,years,485
119,estimate,71
120,periods,51
121,increase,579
122,admission,29
123,season,26
124,workers,53
125,seropositivity,9
126,proportion,203
127,titers,20
128,poultry,24
129,guangzhou,3
130,zhejiang,3
131,province,10
132,rate,772
133,seroprevalence,21
134,provinces,9
135,neutralization,5
136,antibodies,95
137,addition,374
138,contacts,32
139,influenza,46
140,evidence,591
141,infection,209
142,clusters,37
143,generation,41
144,transmission,76
145,occasions,4
146,respect,37
147,serologic,1
148,workplaces,1
149,samples,323
150,virus,53
151,association,887
152,sepsis,11
153,parity,19
154,age,861
155,ethnicity,15
156,employment,8
157,bmi,174
158,literature,277
159,risk,825
160,women,650
161,populations,287
162,adjustment,24
163,cells,1411
164,levels,1351
165,copies,18
166,cell,687
167,times,184
168,keller,1
169,discrepancy,276
170,combination,93
171,centrosomal,1
172,proteins,89
173,immunofluorescence,4
174,blotting,2
175,vikström,1
176,doses,134
177,organs,35
178,target,91
179,use,326
180,volume,162
181,increases,165
182,plans,14
183,lung,93
184,effect,1256
185,rapa,3
186,proliferation,112
187,types,154
188,contrasts,137
189,muscle,198
190,khandelwal,1
191,divergence,18
192,method,108
193,administration,194
194,versus,79
195,vivo,69
196,abundance,41
197,turnover,36
198,nonuniform,1
199,subunit,18
200,loss,252
201,coordination,8
202,subunits,21
203,respiratory,35
204,chain,27
205,gomes,2
206,change,192
207,device,31
208,handling,1
209,clarity,1
210,instructions,7
211,inhaler,4
212,design,60
213,inhalation,4
214,technique,50
215,flow,65
216,error,49
217,inclusion,51
218,participants,253
219,phenytoin,6
220,phase,134
221,esl,1
222,exposure,245
223,inhibition,200
224,eslicarbazepine,1
225,reasons,104
226,difference,765
227,combinations,12
228,aeds,12
229,yield,61
230,products,65
231,transfer,61
232,electron,28
233,metal,16
234,complex,15
235,state,112
236,proceeds,7
237,observation,185
238,intercalators,3
239,distance,37
240,involvement,76
241,mechanisms,111
242,reactive,2
243,triplet,5
244,tap,2
245,role,408
246,systems,128
247,stage,156
248,mri,30
249,controls,176
250,muscles,18
251,dmd,5
252,volumes,37
253,area,177
254,wall,39
255,compliance,22
256,dysfunction,79
257,population,534
258,changes,495
259,onset,35
260,ages,32
261,presence,350
262,point,91
263,mutation,137
264,frataxin,2
265,gene,358
266,likelihood,25
267,drosophila,6
268,sensitivity,184
269,temperature,86
270,variation,150
271,longevity,8
272,lifespans,2
273,days,256
274,mack,1
275,benzer,1
276,rattan,1
277,bass,1
278,weinkove,1
279,houthoofd,1
280,gems,1
281,factors,474
282,phosphorylation,123
283,fibres,8
284,protein,309
285,synthesis,93
286,adenosine,6
287,kinase,57
288,cause,76
289,fibre,30
290,type,258
291,transporters,10
292,expression,954
293,hinders,2
294,laman,3
295,efficacy,58
296,frequency,284
297,reactions,48
298,production,223
299,comparison,168
300,ert,8
301,complications,93
302,effort,22
303,parental,2
304,males,126
305,epcs,3
306,trait,11
307,model,346
308,surface,111
309,thickness,40
310,measures,128
311,relationships,94
312,atrophy,30
313,dickerson,1
314,lack,171
315,desorption,4
316,peaks,23
317,correlate,41
318,profiles,29
319,molecules,86
320,process,94
321,nps,2
322,figure,316
323,deposition,45
324,contextualise,1
325,body,199
326,ppg,3
327,assessment,37
328,breakfast,27
329,lunch,2
330,dinner,1
331,impact,95
332,conformation,18
333,monomer,2
334,insulin,171
335,induces,43
336,portion,17
337,receptor,221
338,motion,49
339,domain,59
340,recruitment,34
341,helix,8
342,mechanism,148
343,molecule,34
344,docks,1
345,harbor,34
346,elements,35
347,link,19
348,trauma,23
349,symptoms,221
350,dissociation,19
351,pain,83
352,cunningham,10
353,sheffler,2
354,stanley,2
355,piazza,4
356,control,386
357,anxiety,136
358,emotion,19
359,regulation,135
360,salomons,2
361,detloff,2
362,johnstone,2
363,davidson,13
364,somatoform,3
365,precaution,2
366,adults,207
367,theta,7
368,waves,7
369,video,11
370,recordings,11
371,twilight,1
372,transition,38
373,eeg,2
374,plms,1
375,features,93
376,dissection,20
377,radiotherapy,12
378,surmise,4
379,countries,141
380,tendencies,10
381,margin,14
382,factor,293
383,rcts,4
384,margins,6
385,criterion,24
386,hospitals,23
387,present,353
388,institutes,4
389,cancer,497
390,japan,35
391,university,12
392,centers,21
393,series,236
394,cholangiocarcinoma,7
395,concentrations,572
396,cea,8
397,specificity,67
398,values,557
399,resistance,135
400,prevalence,376
401,value,325
402,groups,539
403,group,711
404,stages,48
405,steatohepatitis,1
406,nash,7
407,liver,73
408,fibrosis,40
409,tolerance,36
410,recurrent,19
411,focus,14
412,recurrence,51
413,lymph,36
414,node,23
415,trend,121
416,obesity,161
417,development,186
418,contrast,1348
419,girls,87
420,adipokine,1
421,leptin,35
422,blind,1
423,cytology,10
424,histology,11
425,completeness,2
426,hand,200
427,precision,18
428,hpv,60
429,random,7
430,observations,282
431,intensity,100
432,account,77
433,variations,61
434,distribution,159
435,mometasone,1
436,ointment,1
437,occlusion,33
438,decrease,219
439,plasma,159
440,cortisol,32
441,hydrocortisone,4
442,butyrate,1
443,decreases,65
444,suppression,72
445,fatigue,14
446,anorexia,5
447,nausea,2
448,volunteers,34
449,dermatitis,2
450,dermatoses,1
451,cream,1
452,report,323
453,rice,18
454,varieties,6
455,content,114
456,digestibility,23
457,properties,93
458,thailand,8
459,sompong,1
460,berghofer,1
461,schoenlechner,1
462,location,33
463,collection,17
464,laboratory,24
465,operation,8
466,discrimination,25
467,possum,1
468,score,99
469,patient,122
470,parameters,111
471,importance,82
472,fragile,1
473,caro,1
474,households,7
475,incomes,8
476,variety,62
477,food,116
478,items,83
479,manolis,1
480,tanner,6
481,consumers,10
482,money,2
483,goods,5
484,services,17
485,needs,18
486,chen,34
487,anders,1
488,consumer,7
489,willingness,15
490,purchase,6
491,education,106
492,level,443
493,tuorila,1
