,nouns,freq
0,studies,2833
1,properties,135
2,chains,57
3,activity,692
4,property,11
5,results,3292
6,article,31
7,reading,11
8,errors,62
9,steps,11
10,factor,399
11,expression,759
12,conclusion,166
13,study,3551
14,work,481
15,release,133
16,manipulations,19
17,calcium,76
18,stores,12
19,katz,4
20,depolarization,12
21,elicit,12
22,bdnf,24
23,secretion,97
24,kojima,3
25,gartner,5
26,staiger,3
27,result,587
28,levels,842
29,action,93
30,potential,30
31,firing,7
32,ttx,3
33,bath,8
34,solution,87
35,potentials,16
36,dendrites,5
37,effects,723
38,spirometry,1
39,inhalation,4
40,modes,42
41,bronchodilation,1
42,flow,135
43,pif,3
44,findings,1230
45,variants,36
46,block,24
47,pheromone,3
48,responses,213
49,model,611
50,amounts,50
51,bound,38
52,interpretation,82
53,data,1425
54,overexpression,57
55,resistance,180
56,contrast,1263
57,experiments,490
58,strains,109
59,plasmids,7
60,genomic,1
61,copy,10
62,cat,25
63,hearts,12
64,species,374
65,differences,914
66,isoforms,24
67,receptor,133
68,cho,11
69,cells,1543
70,affinity,57
71,vegf,19
72,receptors,105
73,observation,212
74,form,118
75,number,554
76,binding,77
77,sites,145
78,ace,5
79,effect,1017
80,iii,45
81,collagen,40
82,days,169
83,group,550
84,injury,72
85,differentiate,5
86,types,168
87,reduction,229
88,type,214
89,increase,517
90,component,95
91,muscle,176
92,structure,234
93,tissue,153
94,epimysium,1
95,perimysium,1
96,endomysium,1
97,calvi,1
98,technique,51
99,slides,5
100,limitations,30
101,protocol,41
102,advantage,51
103,variation,132
104,animals,177
105,limb,17
106,analysis,381
107,method,97
108,colors,6
109,binarization,1
110,process,151
111,occlusion,10
112,branch,14
113,artery,29
114,blood,213
115,pressure,172
116,degrees,28
117,arrhythmia,1
118,magnitude,103
119,circulation,29
120,present,298
121,ecg,2
122,hypotension,13
123,decrease,202
124,depression,90
125,systole,1
126,diastole,1
127,perfusion,8
128,ments,3
129,inflow,1
130,association,403
131,fall,24
132,auto,1
133,fact,392
134,mothers,25
135,children,222
136,weight,68
137,bmi,33
138,status,99
139,breast,104
140,milk,49
141,composition,82
142,volume,82
143,literature,228
144,topic,7
145,energy,258
146,values,806
147,average,32
