,verbs,freq
0,okanoya,1
1,dooling,1
2,found,1721
3,controls,19
4,khz,2
5,know,12
6,known,206
7,chicken,5
8,starling,1
9,represented,22
10,papilla,1
11,described,437
12,rebillard,1
13,rouse,1
14,varying,27
15,figs,12
16,indicate,262
17,range,45
18,explored,8
19,obtained,467
20,may,1558
21,explained,138
22,consider,18
23,remains,71
24,surface,28
25,expected,240
26,added,34
27,chellam,2
28,observed,1508
29,increasing,236
30,hia,1
31,suggested,309
32,comprised,9
33,thms,1
34,shown,1159
35,stretched,1
36,showed,776
37,shear,2
38,vivo,28
39,stretching,6
40,believed,21
41,arising,21
42,stenosed,1
43,note,27
44,degraded,13
45,mutated,26
46,furthermore,48
47,needed,72
48,achieve,29
49,could,731
50,cleavage,5
51,exposed,75
52,dimer,1
53,nondenaturing,1
54,denaturing,4
55,confirmed,350
56,unfolding,3
57,derived,90
58,based,276
59,predicted,133
60,demonstrated,537
61,deviating,11
62,conducted,75
63,suggest,445
64,would,357
65,supporting,134
66,therefore,26
67,distant,1
68,knotted,1
69,presented,214
70,compared,799
71,modify,12
72,vwf,1
73,increased,908
74,isolated,74
75,containing,93
76,study,447
77,expands,7
78,revealing,27
79,destabilized,1
80,supported,199
81,showing,507
82,identified,196
83,domain,31
84,calculated,73
85,using,771
86,nursing,1
87,present,14
88,reported,2563
89,attributable,14
90,produced,181
91,indwelling,1
92,inserted,3
93,strain,11
94,felt,9
95,testing,60
96,contrast,81
97,contributed,21
98,defined,70
99,supports,96
100,relevant,10
101,cwi,2
102,varied,26
103,differ,54
104,replicated,27
105,coryell,3
106,sles,1
107,controlling,54
108,episodes,4
109,kessing,1
110,approximates,4
111,determined,107
112,reduced,355
113,ach,10
114,occurred,127
115,assay,44
116,offers,9
117,binding,417
118,introducing,11
119,setting,30
120,guaranteed,1
121,considering,39
122,bioassay,6
123,published,239
124,illustrates,9
125,induce,94
126,acting,13
127,might,348
128,remarkable,1
129,corresponding,82
130,isomerisation,1
131,postulated,29
132,depending,55
133,ring,26
134,formed,54
135,favor,7
136,improve,42
137,schizophrenia,15
138,taking,36
139,reduces,5
140,attenuates,10
141,caused,116
142,smoking,54
143,gating,7
144,nicotine,13
145,cascading,1
146,releasing,18
147,including,387
148,seen,320
149,suggests,266
150,studied,119
151,blocks,5
152,cognitive,16
153,working,62
154,sustained,14
155,modeling,8
156,butanol,1
157,microseconds,1
158,occurring,48
159,imply,24
160,distributed,9
161,altering,17
162,vesicle,1
163,decrease,55
164,left,126
165,calls,4
166,reflect,96
167,listening,14
168,increases,55
169,matched,25
170,eeg,2
171,appeared,65
172,midbrain,19
173,arise,30
174,processing,77
175,processes,77
176,finding,675
177,rea,12
178,holding,21
179,orienting,22
180,turned,13
181,show,273
182,turning,15
183,unpublished,24
184,communication,1
185,level,35
186,sounds,4
187,determinant,4
188,call,5
189,reversed,22
190,rhesus,4
191,resulting,91
192,prefer,3
193,pay,2
194,suggesting,288
195,influenced,38
196,underlying,35
197,superimposed,3
198,bringing,5
199,approved,3
200,aes,1
201,include,71
202,pcc,3
203,grecius,2
204,conclude,22
205,resting,43
206,corresponds,25
207,stimulates,23
208,indicating,260
209,believe,30
210,allows,25
211,key,3
212,regulating,31
213,uncover,3
214,concluded,49
215,hazard,1
216,improved,59
217,following,330
218,messaging,1
219,decreasing,45
220,blocked,45
221,staining,108
222,bind,21
223,inhibit,16
224,neutralize,1
225,selected,32
226,used,484
227,raised,31
228,vhhs,1
229,prevented,33
230,limited,41
231,camelid,1
232,origins,5
233,anstey,1
234,extends,29
235,relating,10
236,affected,137
237,appear,110
238,report,56
239,ratios,6
240,reached,47
241,standard,3
242,dose,16
243,required,228
244,expressed,219
245,result,165
246,resulted,154
247,observation,40
248,eliminates,4
249,release,26
250,proposed,178
251,occurs,95
252,detected,250
253,ends,9
254,seems,152
255,origin,5
256,threshold,15
257,sizes,20
258,ggf,3
259,voltages,3
260,alexander,3
261,extent,6
262,producing,42
263,infrared,9
264,onset,46
265,becomes,23
266,activation,16
267,reaction,2
268,proceed,2
269,wysocki,1
270,murakami,2
271,tested,120
272,decreased,253
273,attributed,78
274,ferrate,3
275,consumed,13
276,determining,28
277,treated,198
278,investigating,30
279,reconfirms,1
280,injection,2
281,cocaine,24
282,blunted,20
283,injected,33
284,combined,79
285,blunt,3
286,explaining,16
287,isoform,3
288,characterized,55
289,exhibited,83
290,tubulin,3
291,measured,237
292,vary,36
293,according,127
294,housekeeping,6
295,cyclophilin,5
296,enhanced,216
297,measuring,25
298,appears,150
299,identifying,12
300,seem,69
301,parasite,3
302,extracts,17
303,approached,13
304,achieved,90
305,purified,42
306,percentages,9
307,attained,18
308,egg,1
309,membraneassociated,5
310,shows,126
311,types,10
312,applied,59
313,brought,12
314,reactivated,3
315,tend,28
316,thought,41
317,talked,3
318,berntsen,3
319,amp,154
320,regarding,115
321,fit,17
322,leads,86
323,congruent,4
324,dopamine,12
325,governing,5
326,drawn,5
327,concerning,29
328,limiting,16
329,agrees,71
330,synthesized,16
331,accepted,16
332,repeated,71
333,increase,121
334,branching,3
335,dendrites,3
336,induced,297
337,accompanied,52
338,targeting,28
339,clustering,11
340,taken,110
341,engages,3
342,affecting,18
343,abuse,12
344,involved,205
345,mediating,49
346,exists,17
347,ieg,1
348,mglur,1
349,receptor,27
350,raises,13
351,allow,14
352,synapses,8
353,initiating,9
354,enabling,8
355,embedded,7
356,revealed,146
357,lacking,38
358,alcohol,16
359,develop,44
360,restored,9
361,altered,46
362,frisson,1
363,cleaved,7
364,dsbs,2
365,demonstrating,153
366,living,28
367,play,78
368,adrinduced,3
369,mitochondria,6
370,fig,94
371,protected,11
372,adr,4
373,noted,188
374,simulated,16
375,confirms,71
376,particle,5
377,discussed,61
378,holden,2
379,given,185
380,view,20
381,sought,6
382,compare,26
383,purkinje,2
384,experiments,11
385,done,32
386,provided,59
387,localized,54
388,provides,67
389,pattern,13
390,exclude,16
391,see,273
392,triggering,4
393,plays,44
394,sensing,2
395,correspond,16
396,light,8
397,represent,56
398,blotting,7
399,cerebellum,2
400,hippocampus,12
401,affects,19
402,provide,155
403,cell,113
404,emphasize,14
405,understanding,10
406,relied,4
407,demonstrate,96
408,directed,17
409,mrna,46
410,proteins,68
411,jacobsen,5
412,obtaining,15
413,generated,38
414,localization,3
415,regard,12
416,consists,14
417,targeted,31
418,disrupting,3
419,sirna,9
420,pth,2
421,data,86
422,correlated,150
423,attached,4
424,studying,10
425,cultured,86
426,intended,6
427,camp,6
428,leading,108
429,corroborate,10
430,regulated,85
431,regulate,26
432,verify,1
433,mapping,5
434,remained,51
435,forskolin,1
436,due,71
437,associated,787
438,gssg,1
439,support,137
440,causes,29
441,decreases,53
442,oxidized,10
443,dna,43
444,tissue,19
445,potential,2
446,holds,9
447,must,48
448,side,4
449,cue,2
450,algorithm,1
451,packing,5
452,page,3
453,neser,3
454,smoothed,1
455,produce,77
456,avoid,2
457,ordered,14
458,extrema,1
459,nature,1
460,modified,43
461,changing,23
462,indicated,172
463,recombined,1
464,moiety,1
465,shifted,17
466,substrates,11
467,reductases,1
468,barski,1
469,reporting,134
470,elevated,133
471,seeing,2
472,extend,72
473,pain,9
474,extended,57
475,explicit,1
476,stimuli,37
477,delivered,12
478,noting,5
479,reduce,65
480,skin,8
481,recording,20
482,avatars,2
483,assigned,20
484,spend,3
485,spent,28
486,growing,85
487,spending,2
488,dunn,2
489,indicates,91
490,experience,16
491,coffey,5
492,gottfried,5
493,realo,5
494,lead,84
495,build,6
496,fredrickson,5
497,mentioned,53
498,generate,10
499,disseminated,2
500,pursuing,5
501,min,20
502,initiate,5
503,bolier,4
504,lyubomirsky,2
505,planar,3
506,activated,141
507,retaining,4
508,lipopolysaccharide,1
509,demonstrates,28
510,stimulate,16
511,comes,13
512,microwave,3
513,leucocytes,2
514,inhibited,100
515,coping,13
516,examined,110
517,boundary,3
518,afifi,3
519,tumour,28
520,occur,99
521,truncated,19
522,impaired,59
523,δli,2
524,opn,2
525,predicts,14
526,clumping,1
527,lchad,1
528,posterior,2
529,opens,3
530,tuning,15
531,follows,32
532,laran,4
533,clade,15
534,lapinha,3
535,cave,3
536,exception,6
537,included,86
538,mukhopadhyay,3
539,brazil,3
540,irradiated,5
541,testosterone,9
542,starts,3
543,coexist,1
544,candidate,2
545,rational,1
546,encountered,16
547,reexperiencing,4
548,priming,29
549,trigger,7
550,predicting,16
551,clark,2
552,created,6
553,nanofibres,2
554,rgo,4
555,exhibits,11
556,dominate,2
557,confirming,97
558,separated,23
559,peeled,1
560,consistent,157
561,domains,28
562,compares,31
563,recognized,37
564,schulze,8
565,confirm,169
566,resolve,9
567,recovered,34
568,named,9
569,siphonosoma,2
570,repositioned,2
571,placed,19
572,analyses,24
573,cutler,2
574,missing,15
575,andrade,2
576,think,4
577,aim,2
578,optimized,12
579,sampling,20
580,ensuring,3
581,recommend,10
582,adding,23
583,coding,26
584,enabled,9
585,resolving,4
586,smith,12
587,reasoning,13
588,judge,1
589,faces,41
590,anger,2
591,rated,5
592,smiles,1
593,change,58
594,perceived,25
595,confounded,1
596,interpreted,31
597,helps,9
598,reassert,1
599,matching,26
600,urbach,2
601,pan,2
602,agonist,2
603,rxrs,1
604,inhibiting,18
605,rubin,3
606,make,35
607,say,4
608,mediated,111
609,responses,22
610,differing,18
611,untreated,6
612,established,102
613,survive,5
614,ebov,1
615,underpinning,1
616,specified,5
617,investigated,39
618,eliciting,1
619,digits,1
620,considered,131
621,assumes,8
622,refreshing,3
623,encoding,44
624,create,3
625,restore,16
626,interact,10
627,assessed,82
628,span,1
629,bayliss,1
630,proportion,8
631,occupies,3
632,kept,11
633,outperform,2
634,recall,7
635,nil,2
636,barrouillet,4
637,halford,1
638,reading,11
639,need,33
640,maintaining,27
641,depend,27
642,reflects,51
643,operate,4
644,concentrated,2
645,switched,4
646,maintain,19
647,lends,9
648,function,17
649,switching,20
650,gathercole,1
651,pickering,1
652,wearing,1
653,functioning,19
654,progressed,6
655,comparing,75
656,hpv,3
657,pcrbased,2
658,kiyabu,2
659,sufficient,12
660,oncoproteins,2
661,inducing,39
662,find,81
663,carcinomas,4
664,detect,35
665,metastases,5
666,dutta,2
667,atm,2
668,serve,31
669,multiprotein,1
670,facilitate,22
671,phosphorylated,50
672,dar,1
673,proliferating,26
674,weinstein,1
675,accumulated,18
676,conforming,5
677,determine,16
678,require,27
679,reed,2
680,match,17
681,retarded,1
682,hupp,1
683,surrounded,5
684,depended,11
685,lanes,6
686,supershifting,1
687,promote,13
688,rgc,1
689,ect,21
690,activating,40
691,shift,16
692,binds,17
693,figure,122
694,semizarov,2
695,served,13
696,encoded,18
697,express,9
698,expressing,74
699,allowed,23
700,prkx,1
701,knocking,6
702,spreading,8
703,dishes,1
704,milnacipran,4
705,basal,16
706,reuptake,4
707,doubled,1
708,released,34
709,supplemented,15
710,sutures,4
711,kim,12
712,behaving,5
713,molecules,2
714,signaling,210
715,uses,5
716,means,35
717,operated,4
718,combining,12
719,smad,1
720,compete,1
721,erent,3
722,adult,18
723,invovled,3
724,reasoned,2
725,set,52
726,concur,18
727,whereas,79
728,deletion,2
729,pao,2
730,egfr,10
731,greulich,4
732,jiang,8
733,constitutive,4
734,inhibitor,2
735,analysed,44
736,mercer,4
737,excluded,20
738,validated,11
739,vitamin,4
740,alternated,1
741,warming,3
742,upwelling,1
743,schmittner,1
744,related,201
745,residing,7
746,facilitated,22
747,coincide,4
748,making,12
749,took,9
750,coates,1
751,lessios,1
752,clades,1
753,tau,1
754,alter,16
755,ratio,20
756,polymerized,1
757,acquired,26
758,nonspecific,1
759,obrecht,1
760,gave,32
761,vincristine,1
762,redirected,2
763,xenograft,1
764,kill,3
765,tumor,11
766,labeled,17
767,lymphocytes,23
768,shorter,10
769,reacts,2
770,sorted,4
771,processed,21
772,backbone,1
773,amber,1
774,villin,2
775,supplied,9
776,context,8
777,predict,36
778,recognize,10
779,prevailing,3
780,estrogen,1
781,interesting,31
782,expression,69
783,involving,60
784,splicing,28
785,end,16
786,keeping,100
787,okano,1
788,oriented,16
789,help,34
790,bereaved,14
791,regarded,13
792,parenting,19
793,promoting,29
794,home,2
795,opposed,23
796,died,10
797,accounted,22
798,distinguished,12
799,bohannon,2
800,experiencing,8
801,symptoms,4
802,overexpressioncoupled,1
803,transferring,2
804,clear,4
805,led,77
