,verbs,freq
0,shown,622
1,undergoing,18
2,stenting,5
3,affected,150
4,reduced,231
5,synthesized,9
6,suggested,315
7,implicated,36
8,monocytes,7
9,used,770
10,responsive,1
11,reported,3016
12,luminex,2
13,showed,890
14,assay,39
15,finding,464
16,make,47
17,required,145
18,cleave,2
19,induced,137
20,sloping,2
21,found,2726
22,gravity,2
23,hopfinger,2
24,run,12
25,shows,126
26,ovaries,2
27,allen,4
28,including,219
29,inhibits,12
30,santen,2
31,causes,39
32,aromatase,2
33,contrast,406
34,infected,76
35,activated,61
36,occurs,67
37,result,234
38,demonstrated,318
39,depletion,3
40,enhanced,95
41,limit,11
42,infection,19
43,observed,1623
44,compared,975
45,consumed,11
46,depressed,7
47,creb,1
48,could,839
49,mann,1
50,associated,650
51,christen,1
52,show,283
53,must,86
54,made,124
55,using,542
56,contrasting,60
57,loading,14
58,stimulation,4
59,represented,40
60,mouse,19
61,fit,9
62,described,317
63,remain,32
64,heer,1
65,suggest,344
66,following,148
67,manuscript,1
68,emerging,6
69,may,1642
70,explain,142
71,provided,93
72,prolonged,36
73,lum,3
74,deprived,16
75,indicate,197
76,claimed,23
77,suppresses,1
78,signaling,87
79,activation,4
80,reports,11
81,depending,60
82,considered,249
83,published,180
84,explained,295
85,phb,2
86,pivotal,1
87,exceeded,17
88,developed,71
89,study,771
90,showing,170
91,weight,104
92,sagor,1
93,housed,9
94,highlighted,16
95,admati,1
96,states,14
97,literature,29
98,exploring,2
99,selling,5
100,outcomes,8
101,addressed,18
102,atrophy,2
103,longstanding,2
104,left,84
105,demonstrating,46
106,based,319
107,known,180
108,occurred,150
109,would,359
110,detected,279
111,employed,37
112,undersulphated,3
113,produced,153
114,transformed,13
115,amp,165
116,keller,3
117,stamatoglou,3
118,manzan,1
119,play,47
120,revealed,129
121,established,70
122,obtained,882
123,extended,16
124,stark,6
125,derived,97
126,dimming,1
127,started,18
128,decided,1
129,lies,16
130,confirm,61
131,gonzalez,3
132,good,7
133,thcy,13
134,homocysteine,1
135,related,284
136,saw,17
137,hordaland,2
138,nurk,1
139,associations,1
140,causal,1
141,confounding,20
142,intake,58
143,randomized,26
144,evaluating,28
145,contradictory,11
146,examining,28
147,smoking,31
148,wright,19
149,tonstad,5
150,rising,9
151,repeated,33
152,produces,15
153,desensitization,1
154,altered,40
155,fep,1
156,scales,2
157,given,175
158,estimated,158
159,read,8
160,representative,7
161,support,71
162,sunitinib,1
163,inhibited,33
164,ampk,1
165,myocytes,3
166,reduce,77
167,expected,221
168,protected,6
169,activates,6
170,vti,2
171,observation,24
172,calculated,107
173,otorrhea,2
174,studied,226
175,conflicting,44
176,genotype,3
177,analyzed,74
178,seem,121
179,andrulionyte,1
180,infl,1
181,included,119
182,exclude,28
183,glucose,6
184,hydroxylating,3
185,hydroxylated,3
186,shifted,14
187,fulfill,3
188,function,21
189,detect,47
190,string,14
191,plays,20
192,differ,243
193,solve,3
194,coupling,32
195,painted,2
196,presented,328
197,shared,19
198,reising,2
199,realized,11
200,seretis,1
201,liu,13
202,kim,18
203,nodules,1
204,tempered,5
205,mice,18
206,invoked,3
207,appear,128
208,mev,13
209,imply,41
210,favour,2
211,advocated,4
212,analysing,6
213,discussed,51
214,numbering,2
215,collinear,2
216,deduced,12
217,measured,257
218,authorised,2
219,inferred,24
220,documented,62
221,well,4
222,poses,1
223,might,367
224,hold,9
225,model,29
226,proposed,146
227,fraxa,1
228,ranging,69
229,adverse,4
230,chick,2
231,involving,71
232,ppm,9
233,attributed,184
234,allergy,1
235,negated,1
236,remains,76
237,increased,530
238,koning,1
239,containing,58
240,fed,69
241,assessed,49
242,dorset,1
243,canola,1
244,leading,59
245,holds,8
246,holography,1
247,give,13
248,gain,6
249,conferring,3
250,overlapping,10
251,ligands,4
252,recognized,17
253,limited,71
254,firing,2
255,hvs,1
256,engages,1
257,excluded,32
258,change,27
259,opposed,36
260,euv,4
261,followed,72
262,due,262
263,responses,19
264,tcs,3
265,determined,107
266,harris,5
267,account,60
268,contain,11
269,interpreted,29
270,fly,4
271,assumed,50
272,underlying,32
273,relating,11
274,matched,18
275,coding,16
276,see,223
277,andrade,7
278,rearing,3
279,feeding,33
280,chang,3
281,falls,27
282,suffer,8
283,facing,3
284,thc,2
285,remained,58
286,com,3
287,magnitude,54
288,sawey,1
289,stems,6
290,lowest,4
291,capacitance,1
292,correspond,9
293,focusing,14
294,resulted,84
295,increase,111
296,impacts,3
297,disagreed,13
298,agreed,9
299,illustrated,24
300,inconsistent,9
301,timing,15
302,allowed,21
303,updated,2
304,ghz,3
305,neuroticism,2
306,traits,9
307,consisting,10
308,contributed,45
309,reflect,100
310,remaining,25
311,faced,4
312,therefore,19
313,decreased,217
314,binding,129
315,erritzoe,1
316,expect,34
317,bromocriptine,2
318,acromegaly,1
319,exposed,84
320,exist,22
321,apoptosis,5
322,fasmediated,1
323,killing,4
324,suggesting,226
325,presumed,4
326,accordance,5
327,caused,161
328,protein,44
329,warren,1
330,contained,32
331,lost,21
332,mccarthy,1
333,blotting,6
334,spodoptera,1
335,lectin,1
336,confirmed,104
337,pdf,1
338,indicating,145
339,activate,12
340,gdps,1
341,formulated,9
342,clustered,13
343,clustering,13
344,task,9
345,structures,20
346,accounted,41
347,involved,100
348,enriched,16
349,reconstituted,9
350,transplanted,8
351,limiting,26
352,fig,78
353,conducted,228
354,physicians,9
355,respondents,1
356,sample,20
357,carried,84
358,circumvented,1
359,providing,31
360,range,40
361,bioreaction,1
362,acknowledging,3
363,ageing,6
364,settersten,1
365,carstensen,1
366,develop,40
367,observe,85
368,methine,1
369,indicates,98
370,matysik,1
371,comes,14
372,starts,7
373,assumes,3
374,drawn,14
375,correlated,93
376,imai,4
377,affect,73
378,med,5
379,find,427
380,kpc,1
381,regarding,180
382,corresponding,81
383,distinguished,6
384,method,10
385,thought,38
386,argued,53
387,silicon,4
388,scaled,7
389,obtain,41
390,shallow,2
391,body,8
392,examined,96
393,clarified,9
394,linking,20
395,indicative,6
396,identified,169
397,deformed,8
398,bands,3
399,underwear,1
400,constituting,1
401,establishing,3
402,loaded,2
403,recognizes,3
404,expressed,71
405,induce,50
406,lack,43
407,believed,27
408,entering,5
409,formed,50
410,ranged,59
411,wastes,2
412,permitted,1
413,cause,44
414,abreu,1
415,reach,40
416,satisfy,4
417,illustrates,5
418,needed,49
419,become,44
420,ceased,3
421,cultures,7
422,enter,7
423,depleted,9
424,aspect,7
425,backscattered,1
426,radar,1
427,deviates,4
428,strain,19
429,infect,2
430,replicate,7
431,spread,5
432,resulting,91
433,undergo,6
434,tested,80
435,adapted,16
436,seen,257
437,data,36
438,reached,71
439,encountered,15
440,start,17
441,conditioning,7
