,nouns,freq
0,study,2537
1,sps,7
2,sediments,45
3,amweg,7
4,holmes,15
5,weston,7
6,texas,7
7,hintzen,7
8,illinois,7
9,china,10
10,ops,7
11,frequencies,110
12,concentrations,581
13,studies,2799
14,product,35
15,ions,79
16,consideration,4
17,absence,160
18,interferences,2
19,fragmentation,44
20,patterns,150
21,others,379
22,phase,184
23,separation,37
24,divinylbenzene,1
25,silica,15
26,phases,30
27,effect,1029
28,plot,6
29,fact,275
30,model,460
31,predictions,48
32,species,272
33,abundance,31
34,evenness,1
35,communities,30
36,asymmetry,29
37,dynamics,34
38,knowledge,40
39,plant,61
40,begon,1
41,cannell,1
42,clues,4
43,future,14
44,importance,112
45,stochasticity,2
46,community,49
47,interest,40
48,chisholm,6
49,results,2614
50,line,554
51,findings,1603
52,types,228
53,traits,41
54,ability,171
55,characteristics,115
56,result,297
57,pairwise,1
58,competition,36
59,plants,41
60,strength,105
61,pairs,25
62,receptor,318
63,variants,89
64,association,429
65,pvuii,11
66,polymorphism,43
67,report,336
68,show,180
69,marker,80
70,gene,519
71,population,266
72,proteins,318
73,rate,466
74,cyclization,1
75,dna,223
76,fragments,40
77,distortion,6
78,molecules,95
79,geometries,6
80,energy,188
81,hmgb,2
82,conditions,342
83,flexibility,9
84,concentration,332
85,filament,5
86,mode,27
87,molecule,69
88,experiments,313
89,filaments,13
90,substrates,16
91,ligase,1
92,binding,102
93,action,91
94,secretion,87
95,neurointermediate,4
96,pyy,4
97,inhibit,63
98,conclude,21
99,subtype,17
100,agreement,978
101,potencies,3
102,ypreceptors,2
103,acts,41
104,duration,132
105,xenopus,7
106,recovery,89
107,inhibition,332
108,lobes,3
109,melanotropes,8
110,agonist,42
111,potent,18
112,yrlike,1
113,vivo,110
114,activity,995
115,observation,346
116,potency,13
117,ana,3
118,logues,2
119,cell,1163
120,oscillations,16
121,arguments,13
122,cillations,2
123,force,41
124,vitro,110
125,contrast,253
126,strains,52
127,flora,3
128,trachomatis,4
129,eradication,1
130,infection,142
131,speculation,27
132,addition,442
133,lanes,35
134,progelatinase,1
135,form,137
136,incubation,33
137,cho,6
138,cells,2874
139,sensitivity,146
140,fluorescence,93
141,detector,2
142,fluo,1
143,gmbh,1
144,germany,9
145,trend,114
146,number,517
147,coli,30
148,range,261
149,cfu,1
150,water,165
151,sample,138
152,samples,225
153,assay,11
154,coliform,1
155,group,524
156,klebsiella,1
157,edberg,1
158,gud,4
159,activities,104
160,bacteria,37
161,research,273
162,gluase,1
163,brenner,5
164,point,127
165,iptg,1
166,data,1556
167,states,58
168,condition,73
169,production,262
170,atgus,1
171,protein,651
172,liu,20
173,points,46
174,selectivity,16
175,temperature,146
176,growth,456
177,assays,35
178,mug,1
179,figures,80
180,lot,2
181,figure,800
