,verbs,freq
0,performed,292
1,given,251
2,specified,21
3,friston,3
4,included,317
5,comprised,15
6,increasing,192
7,capture,6
8,alahmadi,12
9,include,316
10,convolved,3
11,create,33
12,used,1131
13,corresponds,10
14,defined,195
15,using,1101
16,diedrichsen,9
17,projected,12
18,provided,216
19,appears,86
20,analyzed,91
21,described,495
22,smoothed,5
23,masked,35
24,smoothing,5
25,applied,138
26,according,172
27,drdn,3
28,prevent,39
29,noted,83
30,could,643
31,anterior,6
32,analyze,5
33,see,197
34,set,177
35,corrected,53
36,predominant,1
37,fitting,13
38,categorized,11
39,unexpected,11
40,finding,69
41,interconnected,6
42,suggests,109
43,represent,38
44,engaged,31
45,reflect,65
46,supporting,88
47,demonstrated,277
48,possesses,3
49,localized,18
50,produced,71
51,mapped,34
52,including,728
53,viii,3
54,associated,815
55,guided,24
56,lobules,1
57,related,199
58,palm,1
59,involves,62
60,executing,1
61,requiring,23
62,modulate,6
63,posterior,1
64,detect,23
65,vii,8
66,investigating,28
67,ranges,10
68,linked,132
69,considering,73
70,requires,147
71,increased,524
72,resulting,136
73,shown,735
74,reflects,36
75,detected,153
76,found,678
77,kipping,1
78,premotor,1
79,find,51
80,reported,935
81,may,1369
82,control,29
83,involved,205
84,working,83
85,suggest,153
86,follows,50
87,showing,89
88,function,27
89,reflecting,15
90,reduced,307
91,firing,10
92,follow,14
93,shaped,12
94,known,316
95,indicate,52
96,characterized,146
97,nuclei,1
98,makes,38
99,presented,113
100,demonstrates,27
101,connected,25
102,observed,391
103,relied,8
104,published,152
105,efferent,6
106,clower,6
107,küper,6
108,investigate,19
109,imply,3
110,elsinger,3
111,restricted,69
112,bernard,4
113,precluding,1
114,showed,275
115,tended,8
116,fit,5
117,indicated,82
118,corresponding,52
119,captured,31
120,recordings,8
121,show,144
122,assumed,35
123,shapes,8
124,evarts,8
125,inhibition,5
126,singh,33
127,adjusted,46
128,entering,4
129,regressors,2
130,based,592
131,cultures,5
132,ericksen,6
133,ring,18
134,containing,101
135,detecting,14
136,might,219
137,form,46
138,assay,37
139,clumping,4
140,conducted,317
141,wrapped,2
142,runs,2
143,remained,23
144,resulted,85
145,edge,5
146,prevented,7
147,necessitated,1
148,excluding,16
149,added,51
150,spread,9
151,plates,6
152,diluted,8
153,monitored,19
154,appeared,12
155,indicating,86
156,turn,38
157,aerosol,6
158,pipetting,3
159,depicts,1
160,sampled,32
161,confined,6
162,trypsinization,1
163,nucleases,1
164,employed,94
165,reduce,175
166,curves,8
167,placing,4
168,produce,90
169,preceded,12
170,grow,8
171,forming,19
172,surrounded,7
173,contribute,75
174,lectins,2
175,would,276
176,bound,4
177,limiting,13
178,protecting,30
179,killing,26
180,coli,5
181,acute,31
182,receive,24
183,therapy,7
184,alter,14
185,curcumin,2
186,improve,153
187,healing,21
188,regarding,121
189,describes,19
190,loading,19
191,laminins,1
192,identified,333
193,laminin,8
194,bullosa,7
195,remains,134
196,mice,13
197,die,31
198,deleted,10
199,explained,57
200,participate,29
201,broader,8
202,display,25
203,shortened,5
204,suggested,234
205,mesoderm,5
206,lens,39
207,discussed,66
208,beginning,26
209,elucidated,10
210,participates,4
211,result,138
212,includes,130
213,microcoria,1
214,microphthalmia,1
215,disorganized,1
216,defects,12
217,joining,1
218,grouping,2
219,species,8
220,figure,57
221,proteins,45
222,expressed,162
223,overlapping,48
224,acid,17
225,followed,113
226,domain,46
227,binding,165
228,located,105
229,lacking,64
230,mediated,82
231,formed,42
232,utero,1
233,occurs,89
234,affected,135
235,require,79
236,involve,50
237,involving,83
238,displayed,27
239,investigated,165
240,fibulins,7
241,present,14
242,proposed,244
243,ecm,7
244,type,64
245,play,99
246,supported,71
247,developing,132
248,myopia,4
249,obtained,158
250,spawning,2
251,raised,23
252,determined,93
253,post,6
254,generated,125
255,separated,29
256,cloned,25
257,subjected,13
258,sequencing,73
259,exert,15
260,review,42
261,discuss,13
262,pdc,31
263,modulated,28
264,innate,9
265,concerning,29
266,kinase,12
267,called,72
268,tca,5
269,substrates,8
270,dna,25
271,producing,19
272,isolated,65
273,mouse,14
274,exhibit,39
275,conserved,52
276,mentioned,23
277,released,50
278,homing,1
279,consist,10
280,migrating,5
281,reside,2
282,lymph,2
283,peyer,4
284,gut,11
285,residing,3
286,maintaining,32
287,inhaled,2
288,autoimmune,8
289,inflamed,10
290,influence,23
291,impacts,3
292,supports,24
293,tlr,1
294,allow,49
295,recognize,27
296,unmethylated,1
297,ssrna,3
298,complexed,1
299,protein,51
300,upregulates,9
301,regulated,52
302,activates,19
303,depending,70
304,cytokine,5
305,activated,48
306,dying,15
307,histones,5
308,microvesicles,3
309,dedicated,13
310,lung,16
311,preventing,22
312,express,13
313,confer,5
314,enzyme,11
315,required,173
316,stimulates,13
317,participating,27
318,inhibit,34
319,immunosuppressive,3
320,refer,76
321,scope,5
322,receptor,27
323,associating,3
324,signaling,227
325,kinases,7
326,consists,55
327,detrimental,4
328,diseases,32
329,diabetes,166
330,release,25
331,enriched,22
332,modify,20
333,infiltrated,2
334,oxidized,7
335,exhausted,2
336,modified,57
337,confirmed,61
338,attenuated,3
339,recognizes,5
340,act,25
341,inactivating,9
342,blocking,15
343,excreted,4
344,compared,472
345,coupled,29
346,depends,33
347,favored,11
348,encountered,7
349,rheumatoid,6
350,proliferate,4
351,exposure,4
352,influenza,39
353,triggering,27
354,expression,11
355,attested,4
356,elevated,94
357,lactate,4
358,increase,137
359,induced,100
360,enhance,33
361,sorted,31
362,explain,55
363,lies,5
364,affect,115
365,coding,24
366,fasn,3
367,regulate,31
368,glucose,25
369,srebp,1
370,considered,274
371,ligands,19
372,cdc,4
373,generate,26
