,nouns,freq
0,rule,9
1,effects,866
2,targets,87
3,constituents,9
4,mixture,31
5,compounds,151
6,increase,290
7,expression,325
8,response,454
9,genes,269
10,livers,8
11,study,1000
12,ppm,25
13,dose,58
14,data,726
15,supports,32
16,idea,21
17,longevity,20
18,activation,285
19,example,333
20,leiser,1
21,amp,1789
22,miller,18
23,fibroblasts,16
24,mutant,10
25,mouse,174
26,levels,741
27,resistance,257
28,plasma,152
29,membrane,191
30,peroxidation,11
31,findings,255
32,mrna,19
33,tissues,140
34,mice,344
35,differences,226
36,control,421
37,sykiotis,1
38,bohmann,1
39,loss,371
40,function,503
41,mutation,107
42,activity,426
43,stress,221
44,male,19
45,flies,27
46,stock,4
47,weeks,103
48,age,272
49,mean,34
50,emphasis,7
51,deaths,39
52,ages,14
53,work,226
54,itp,1
55,percentile,1
56,mortality,358
57,group,335
58,concentration,176
59,evaluation,104
60,evidence,349
61,patients,2112
62,diabetes,174
63,metformin,192
64,risks,117
65,reports,281
66,side,118
67,years,493
68,people,182
69,suggestions,6
70,agent,30
71,trials,226
72,disease,756
73,subjects,110
74,decision,29
75,test,162
76,combination,160
77,rapa,2
78,disturbances,24
79,homeostasis,61
80,benefits,93
81,insulin,142
82,sensitivity,90
83,compensate,3
84,percentage,50
85,lifespan,76
86,cohorts,44
87,use,411
88,analogs,1
89,impact,141
90,metabolism,151
91,everolimus,1
92,activator,6
93,rosiglitazone,10
94,rapamycin,4
95,fasting,6
96,hyperglycemia,99
97,intolerance,21
98,rats,56
99,surges,2
100,blood,441
101,harrison,8
102,consideration,22
103,treatment,972
104,failure,156
105,ndga,1
106,concentrations,206
107,females,38
108,see,29
109,males,16
110,addition,445
111,replicate,6
112,twofold,1
113,threefold,1
114,maximum,12
115,spindler,3
116,results,486
117,studies,1964
118,strains,65
119,acids,70
120,fernandes,2
121,analysis,386
122,survival,266
123,magalhaes,4
124,oil,8
125,gompertz,1
126,slope,5
127,rate,390
128,time,486
129,effect,499
130,doses,97
131,maximal,2
132,acid,102
133,udca,2
134,variety,98
135,mammals,28
136,derangements,3
137,tumor,323
138,formation,141
139,bile,14
140,aca,1
141,months,137
142,investigation,51
143,drugs,204
144,mixtures,5
145,extension,42
146,nadon,1
147,features,90
148,design,95
149,laboratory,44
150,sites,119
151,conclusions,18
152,genotype,7
153,numbers,57
154,power,103
155,detail,25
156,mothers,33
157,jax,1
158,parents,68
159,plastic,3
160,cages,9
161,tops,1
162,inch,1
163,bed,7
164,andersons,1
165,box,8
166,maumee,1
167,access,65
168,water,177
169,hydrochloric,1
170,bottles,3
171,system,348
172,determine,37
173,treatments,69
174,wang,89
175,fisher,33
176,joint,8
177,distribution,165
178,systems,224
179,stimulus,10
180,mediate,24
181,part,155
