,nouns,freq
0,model,438
1,solvation,28
2,energy,398
3,solution,101
4,environment,89
5,value,429
6,notion,121
7,urea,2
8,backbone,15
9,whereas,129
10,water,258
11,components,107
12,analysis,425
13,view,128
14,effect,1050
15,simulations,137
16,integration,34
17,models,230
18,glycine,7
19,peptide,48
20,geometry,27
21,end,53
22,group,557
23,contributions,28
24,agreement,1047
25,form,113
26,study,2842
27,groups,457
28,studies,2862
29,hydrogen,52
30,bond,73
31,amounts,59
32,part,154
33,result,353
34,lack,130
35,interaction,210
36,tmao,2
37,interpretation,74
38,experiments,356
39,osmolytes,2
40,region,299
41,protein,468
42,measurements,183
43,dialanine,2
44,carbonyl,8
45,authors,218
46,bonds,51
47,trend,99
48,literature,309
49,results,2719
50,values,598
51,amount,83
52,simulation,44
53,work,444
54,origin,25
55,behavior,156
56,energies,44
57,differences,487
58,additivity,1
59,transfer,103
60,slope,39
61,oligomer,4
62,unit,38
63,repeat,10
64,possess,6
65,trends,45
66,difference,349
67,procedure,39
68,omission,11
69,antibody,71
70,substitution,25
71,primary,7
72,preimmune,3
73,immunoadsorption,1
74,proteins,201
75,hour,10
76,systems,185
77,cedarlane,1
78,inos,3
79,biotechnology,1
80,control,414
81,zones,8
82,cartilage,15
83,antibodies,60
84,procedures,27
85,concentration,331
86,changes,472
87,fibrillation,3
88,fissures,5
89,cellularity,4
90,hypocellularity,3
91,loss,300
92,safranin,5
93,figure,950
94,decrease,242
95,histologic,11
96,condyles,8
97,severity,53
98,lesions,267
99,dogs,19
100,pioglitazone,32
101,score,81
102,range,372
103,placebo,11
104,versus,57
105,nificant,3
106,dosage,7
107,reduction,380
108,scores,100
109,treatment,484
110,note,111
111,effects,856
112,drugs,73
113,reason,72
114,effectiveness,14
115,mechanisms,108
116,development,221
117,findings,1683
118,accordance,193
119,guinea,11
120,pig,19
121,drug,114
122,plateaus,3
123,site,171
124,matrix,54
125,catabolic,2
126,levels,1201
127,mice,432
128,domain,81
129,instability,25
130,course,87
131,destruction,4
132,aggrecanase,1
133,degradation,59
134,modulates,12
135,activities,95
136,observations,519
137,agonist,27
138,resiglitazone,2
139,vitro,78
140,activity,830
141,proinflammatory,6
142,gene,531
143,expression,1183
144,regard,56
145,troglitazone,3
146,phosphorylation,100
147,jnk,28
148,response,608
149,inhibition,239
150,dna,216
151,binding,78
152,subunit,40
153,context,45
154,synthesis,107
155,moreover,72
156,pathways,68
157,regulation,111
158,activation,554
159,action,131
160,enzyme,38
161,kinase,43
162,inhibitor,96
163,hypothesis,284
164,blockage,5
165,gradient,18
166,sensitivity,148
167,cones,4
168,measures,128
169,outer,6
170,segments,19
171,morphology,75
172,nuclei,27
173,chromatin,4
174,daniele,1
175,whorls,1
176,ages,26
177,layer,57
178,histopathology,9
179,crx,4
180,promoter,120
181,repress,1
182,transcript,22
183,fact,265
184,photoreceptor,4
185,cell,1142
186,level,403
187,center,80
188,transcription,95
189,factor,321
190,network,64
191,autoregulation,4
192,members,38
193,downstream,26
194,inducer,4
195,feedback,45
196,contrast,291
197,brughelli,3
198,cronin,5
199,exercise,63
200,intervention,45
201,resistance,128
202,torque,3
203,extremes,27
204,motion,24
205,investigators,76
206,injuries,5
207,review,50
208,exercises,7
209,muscle,253
210,elongation,25
211,joint,7
212,movements,40
213,benedict,6
214,ventricle,6
215,performance,322
216,thickness,51
217,evaluation,46
218,means,17
219,image,25
220,suite,1
221,http,5
222,patients,1347
223,reports,690
224,deterioration,16
225,randomization,4
226,presence,415
227,disorder,74
228,brugger,8
229,observation,403
230,executive,46
231,dysfunction,89
232,amp,979
233,isler,3
234,geisseler,3
235,controls,160
236,measure,128
237,randomness,3
238,rng,3
