,nouns,freq
0,expression,904
1,mature,25
2,membrane,83
3,studies,3535
4,adhesion,32
5,molecules,71
6,interaction,179
7,huvecs,11
8,vivo,86
9,data,1314
10,role,440
11,crp,32
12,contention,5
13,play,25
14,atherosclerosis,32
15,mice,466
16,findings,2188
17,effect,714
18,cholesterol,79
19,regulation,113
20,viability,31
21,cells,1589
22,functions,76
23,transporters,8
24,gene,284
25,shrnas,1
26,response,456
27,gemcitabine,1
28,figure,1119
29,hypoxic,3
30,rgdfk,1
31,reports,692
32,inhibition,175
33,expressions,18
34,activation,342
35,check,3
36,influence,94
37,parameters,116
38,coordinates,7
39,tensor,1
40,structure,176
41,units,30
42,calculations,53
43,structures,107
44,agreement,774
45,results,2395
46,proteins,209
47,complexes,63
48,amount,89
49,coli,12
50,endotoxin,5
51,hbvc,4
52,information,362
53,level,406
54,cause,96
55,affibody,1
56,tumor,245
57,period,233
58,serum,109
59,energy,109
60,nutrition,21
61,source,61
62,growth,249
63,retention,27
64,performance,104
65,corresponds,45
66,report,301
67,dennis,4
68,peptides,44
69,albumin,11
70,fluorescence,35
71,images,41
72,organs,43
73,show,110
74,accumulation,138
75,liver,94
76,cell,744
77,surface,150
78,organ,1
79,formation,186
80,analyses,144
81,sodium,43
82,dodecyl,6
83,sulfate,10
84,polyacrylamide,2
85,gel,14
86,electrophoresis,4
87,blot,43
88,force,39
89,microscopy,39
90,heterodimers,2
91,analysis,474
92,iii,62
93,concentration,165
94,vii,2
95,reveals,16
96,conjugation,7
97,reaction,81
98,avi,2
99,measurements,129
100,zeta,4
101,values,436
102,question,32
103,age,614
104,associations,267
105,causes,44
106,sex,216
107,researchers,46
108,outcome,75
109,study,3178
110,details,30
111,health,466
112,complaints,23
113,value,255
114,severity,219
115,disability,61
116,finding,69
117,disease,567
118,addition,483
119,others,236
120,control,355
121,solutions,26
122,concentrations,178
123,whereas,90
124,induction,106
125,rfps,1
126,maturation,35
127,half,56
128,time,561
129,min,32
130,samples,255
131,levels,1207
132,protein,278
133,system,248
134,photolysis,1
135,machinery,11
136,development,278
137,part,138
138,perturbation,4
139,changes,458
140,ctbs,1
141,increase,447
142,amplitude,12
143,baseline,133
144,effects,558
145,modulation,37
146,colebatch,1
147,somatosensory,9
148,input,6
149,muise,1
150,reduction,372
151,feedback,19
152,plantar,2
153,foot,15
154,condition,45
155,incidence,268
156,county,13
157,östergötland,1
158,assessments,15
159,criteria,84
160,buchbinder,1
161,jolley,1
162,dennett,1
163,amp,975
164,buchanan,2
165,review,72
166,meyer,5
167,topology,8
168,characterization,20
169,yeast,14
170,mouse,132
171,homologues,3
172,domain,135
173,counterparts,29
174,presence,348
175,conservation,9
176,enzymes,20
177,sequence,57
178,identity,29
179,architecture,12
180,interfaces,2
181,subcomplexes,1
182,region,302
183,interactions,105
184,explains,3
185,ost,2
186,isoforms,19
187,translocons,1
188,translocon,1
189,events,288
190,lymphopenia,4
191,number,387
192,event,118
193,rates,564
194,doublets,8
195,triplets,5
196,days,157
197,consistent,81
198,docetaxel,5
199,cisplatin,8
200,diminution,3
201,substitution,22
202,taxane,1
203,dosing,3
204,schedule,3
205,monitoring,27
206,attention,39
207,care,227
208,series,123
209,experiments,124
210,association,580
211,radioresistance,1
212,lines,94
213,relationship,272
214,apoptosis,104
215,breast,97
216,cancer,411
217,rate,616
218,result,310
219,research,342
220,radiation,42
221,overexpression,91
222,pathogenesis,32
223,injury,132
224,mediators,29
225,death,197
226,degeneration,47
227,compositions,4
228,correlations,94
229,sets,18
230,brain,335
231,observation,242
232,line,820
233,somel,1
234,khaitovich,1
235,bahn,1
236,pääbo,1
237,lachmann,1
238,genes,407
239,processes,74
240,differentiation,150
241,categories,21
242,enrichment,13
243,eyes,16
244,flies,11
245,post,21
246,eclosion,1
247,reads,6
248,replicate,7
249,numbers,149
250,photoreceptors,5
251,junctionseq,1
252,identifies,7
253,splice,13
254,junction,9
255,usage,2
256,junctions,20
257,hartley,1
258,test,151
259,factors,426
260,abundance,58
261,circrnas,4
262,rnai,2
263,factor,341
264,observations,370
265,rna,46
266,circrna,1
267,caper,1
268,mcherry,3
269,tumour,41
270,tissues,121
271,patients,2732
272,primers,4
273,lesions,117
274,areas,134
275,metastasis,77
276,groups,419
277,size,306
278,group,621
279,ovaries,4
280,lymph,26
281,table,76
282,invasion,4
283,involvement,100
284,tube,10
285,recurrence,53
286,stage,124
287,indexes,5
288,models,258
289,cancers,97
290,isoform,12
291,reasons,37
292,balance,30
293,anergy,1
294,antisense,2
295,target,129
296,plays,40
297,suppressor,22
298,induces,52
299,regulator,33
300,pathway,109
301,inhibits,20
302,jnk,13
303,glioma,23
304,wang,34
305,resveratrol,4
306,repression,9
307,pten,1
308,miri,1
309,ischaemia,6
310,reperfusion,28
311,yao,2
312,vitamin,16
313,receptor,174
314,autophagy,43
315,work,341
316,lncrna,3
317,damage,160
318,myocardium,32
319,tissue,273
320,infarction,69
321,chen,18
322,proliferation,141
323,cui,2
324,hepatocellular,1
325,carcinoma,39
326,hcc,9
327,tecs,1
328,recovery,68
329,tyr,2
330,treatment,775
331,ros,50
332,production,191
333,hand,106
334,cardiomyocytes,23
335,cytotoxicity,32
336,senescence,16
337,dysfunction,239
338,hallmarks,3
339,evidence,448
340,establishment,13
341,senescent,1
342,phenotype,121
343,stimulation,143
344,decrease,189
345,potential,32
346,drives,7
347,diseases,116
348,heart,208
349,failure,171
350,hoshino,3
351,mediator,21
352,drinking,23
353,risk,1004
354,prostate,47
355,concordance,57
356,consumption,78
357,forms,74
358,conversion,55
359,acetaldehyde,3
360,properties,104
361,synthesis,56
362,repair,32
363,dna,123
364,mutations,205
365,metabolism,72
366,form,97
367,radicals,23
368,choices,2
369,trend,87
370,allele,30
371,men,276
372,alcohol,84
373,caucasians,11
374,smoking,94
375,alleles,30
376,genotypes,56
377,sites,107
378,smoker,2
379,drinker,1
380,status,175
381,smokers,42
382,migration,62
383,herein,11
384,bcaa,3
385,pbmc,1
386,generation,85
387,inflammatory,42
388,ecs,13
389,highlights,39
390,overactivation,1
391,progression,174
392,future,51
393,mechanisms,143
394,limitation,11
395,gastric,4
396,accordance,170
397,hdacs,2
398,sirtuins,6
399,process,151
400,overexpessing,1
401,suppression,43
402,activates,1
403,mapk,13
404,induce,29
405,lox,1
406,lineage,19
407,commitment,2
408,phosphorylation,135
409,stimulates,1
410,function,380
411,osteopenia,1
412,promotes,37
413,adipocyte,6
414,mnc,1
415,nbm,5
416,cml,7
417,hours,114
418,dmapt,2
419,hour,4
420,ptl,5
421,lin,14
422,dcfda,1
423,mfi,1
424,counterpart,8
425,resilience,24
426,stress,210
427,mechanism,197
428,population,471
429,volume,167
430,density,146
431,fields,20
432,hearts,24
433,controls,135
434,cross,20
435,section,44
436,area,135
437,mitochondria,80
438,parkin,7
439,quality,119
440,mitophagy,9
441,homoeostasis,5
442,linkage,24
443,mitochondrion,4
444,attachment,24
445,point,130
446,present,163
447,increases,139
448,administration,123
449,state,164
450,cardiomyopathy,15
451,dilation,7
452,output,39
453,drop,20
454,lvef,11
455,interest,26
456,frequency,163
457,waves,18
458,ias,4
459,network,110
460,decline,60
461,icc,12
462,colon,30
463,stomach,4
464,rat,66
465,bowel,8
466,parts,30
467,species,306
468,phenomenon,56
469,muscle,278
470,contractility,14
471,described,3
472,individuals,361
473,hanks,1
474,fgf,1
475,obesity,125
476,downregulation,28
477,absence,154
478,overt,3
479,glycemia,1
480,indication,13
481,functionality,17
482,homeostasis,30
483,barzilai,1
484,huffman,1
485,muzumdar,1
486,bartke,1
487,fact,183
488,insulin,92
489,resistance,147
490,cohort,312
491,necrosis,12
492,difference,274
493,tunel,1
494,day,113
495,immunofluorescence,14
496,blotting,3
497,hypoxia,22
498,reoxygenation,3
499,marker,92
500,pcna,29
501,hypothesis,189
502,hgps,4
503,conditions,293
504,ddr,2
505,exposure,274
506,note,86
507,pla,8
508,distribution,179
509,lamin,4
510,periphery,13
511,prelamin,1
512,mada,1
513,lattanzi,1
514,binding,57
515,fibroblasts,37
516,binds,13
517,favors,7
518,deacetylase,2
519,notion,97
520,niture,2
521,zhang,41
522,homogenates,4
523,antibody,95
524,methods,105
525,figures,55
526,signal,24
527,nuclei,13
528,upregulation,31
529,elements,30
530,ccat,2
531,electrons,12
532,respiratory,64
533,matrix,30
534,expand,4
535,survival,161
536,mef,4
537,stabilization,15
538,aneuploidies,3
539,dosage,12
540,imbalances,6
541,metabolic,8
542,sheltzer,3
543,hannink,3
544,pathways,106
545,curtail,3
546,regard,17
547,translocation,16
548,vulnerability,29
549,kubben,1
550,mirnas,14
551,databases,6
552,prediction,61
553,gdnf,6
554,contributes,23
555,shh,8
556,months,216
557,compensatory,16
558,confirm,32
559,neurodegeneration,16
560,snpc,5
561,alteration,16
562,striatum,23
563,girasole,1
564,nelson,1
565,intoxication,2
566,modulatory,2
567,circuit,13
568,floor,9
569,basal,19
570,leads,21
571,blaess,1
572,corrales,1
573,joyner,1
574,specification,4
575,interneurons,12
576,manner,49
577,zhou,25
578,producers,4
579,contribution,52
580,ach,2
581,characteristics,127
582,slender,1
583,cytoplasmic,2
584,detection,95
585,features,111
586,pdgfra,3
587,perform,8
588,constitutes,5
589,coherent,3
590,existence,35
591,interstitium,1
592,express,11
593,mast,38
594,lining,1
595,lumens,1
596,identification,33
597,need,24
598,tool,17
599,cases,305
600,comorbidities,62
601,rbc,12
602,transfusion,12
603,model,497
604,drugs,77
605,surgery,82
606,predictor,73
607,bleeding,21
608,blocker,8
609,aspirin,3
610,advice,10
611,practice,52
612,guidelines,66
613,blockers,21
614,patient,169
615,abnormal,3
616,range,249
617,reference,57
618,intervals,36
619,abnormalities,55
620,platelet,47
621,adrenaline,2
622,reagents,5
623,proportion,172
624,clot,13
625,fibrinogen,12
626,component,50
627,strength,59
628,medium,45
629,egta,1
630,math,217
631,msubsup,17
632,mrow,262
633,normali,3
634,bradykinin,7
635,transient,20
636,calcium,47
637,stores,7
638,strategies,53
639,donor,25
640,stem,63
641,interventions,96
642,inducer,8
643,copp,6
644,peptide,35
645,initiate,11
646,progenitor,26
647,plant,40
648,subordinate,1
649,wilson,6
650,dai,2
651,fowler,1
652,lawton,1
653,price,8
654,dominance,19
655,pathogen,13
656,attack,22
657,importance,133
658,traits,59
659,consumer,2
660,occurrence,39
661,albuquerque,4
662,lucena,4
663,lima,2
664,araújo,2
665,dtlaow,2
666,medeiros,5
667,alves,2
668,geens,1
669,cloud,4
670,base,22
671,mountains,6
672,stewart,4
673,samson,4
674,richardson,8
675,efarcc,1
676,daymet,1
677,humidity,10
678,latitude,1
679,pearson,6
680,correlation,249
681,coefficient,14
682,literature,372
683,assessment,47
684,symptoms,343
685,perpetrator,1
686,use,351
687,children,330
688,sequelae,8
689,measures,107
690,explanations,11
691,styles,2
692,proposition,5
693,behaviour,52
694,problems,99
695,csa,30
696,friedrich,4
697,corwin,4
698,percentage,84
699,browne,4
700,reactions,48
701,intrusions,13
702,ptsd,140
703,impact,133
704,abuse,27
705,daycare,2
706,centre,8
707,dyb,8
708,rodriguez,4
709,pynoos,2
710,distress,46
711,disclosure,2
712,davies,5
713,parents,56
714,experience,85
715,feelings,14
716,child,33
717,therapy,209
718,holt,3
719,cohen,6
720,mannarino,2
721,costs,27
722,income,83
723,quintiles,2
724,confirmation,18
725,pattern,144
726,basis,44
727,dispersal,8
728,distances,27
729,adults,163
730,barriers,37
731,fishes,1
732,carvalho,2
733,dapc,2
734,populations,300
735,ibd,6
736,interpretation,29
737,spies,1
738,microsatellite,2
739,cunningham,1
740,bottom,7
741,temperatures,14
742,march,5
743,rearing,1
744,alderdice,1
745,forrester,1
746,heat,13
747,puget,1
748,sound,5
749,patterns,110
750,cod,13
751,recruitment,37
752,success,23
753,stocks,5
754,sea,7
755,brander,1
756,adaptation,22
757,pacific,11
758,clines,4
759,mortality,456
760,karp,1
761,differences,470
762,prevents,20
763,loss,277
764,fluids,4
765,pharynx,1
766,blood,269
767,saito,2
768,ohara,1
769,coons,2
770,linnaeus,1
771,compounds,41
772,corroborates,20
773,granules,11
774,cement,1
775,walker,5
776,gill,1
777,phenols,1
778,quinones,1
779,crosslinks,2
780,see,41
781,ultrastructure,5
782,secretory,6
783,products,65
784,microscopic,3
785,males,95
786,roshdy,1
787,pas,5
788,carbohydrate,6
789,aniline,1
790,abb,1
791,metachromasia,1
792,toluidine,1
793,blue,1
794,carnivores,1
795,hull,1
796,updike,1
797,fain,1
798,paetkau,1
799,waits,1
800,strobeck,1
801,rueness,2
802,jorde,1
803,isolation,24
804,landscape,14
805,incidences,16
806,position,81
