,verbs,freq
0,digested,5
1,dissolved,16
2,integrated,27
3,used,901
4,considered,227
5,chosen,24
6,published,87
7,performed,272
8,using,881
9,followed,82
10,based,508
11,sequencing,77
12,derived,87
13,deposited,9
14,carbonated,1
15,labelled,6
16,analysed,31
17,origin,6
18,representing,23
19,exosomes,7
20,isolated,77
21,identify,81
22,overrepresented,3
23,figure,82
24,enriched,53
25,associated,1181
26,binding,145
27,involved,215
28,regulating,38
29,maintaining,34
30,venn,2
31,generated,79
32,analysis,6
33,shown,829
34,reported,1117
35,found,787
36,compared,594
37,carry,12
38,detected,75
39,presenting,39
40,cargo,3
41,mirna,5
42,identified,391
43,normalized,16
44,graphs,1
45,leads,98
46,showed,379
47,known,311
48,considering,68
49,wnt,7
50,downregulated,13
51,leaving,22
52,acting,28
53,inhibiting,53
54,activating,49
55,disabling,4
56,contained,29
57,increase,139
58,obtained,117
59,diameter,8
60,continued,23
61,increased,682
62,taken,69
63,corresponding,59
64,suggests,165
65,provide,177
66,elucidate,6
67,applying,23
68,inhibit,37
69,directs,5
70,starting,29
71,characterized,115
72,play,82
73,contributing,39
74,molecules,4
75,may,1735
76,processes,106
77,induce,50
78,target,42
79,facilitating,16
80,patterning,11
81,signalling,92
82,unexpected,1
83,find,50
84,accumulated,16
85,contain,50
86,presented,55
87,organized,16
88,omitted,1
89,therefore,19
90,speculate,7
91,comes,13
92,discussed,31
93,upregulating,1
94,increasing,211
95,remains,109
96,occur,90
97,mediate,21
98,called,54
99,inductive,1
100,fgfs,1
101,indicates,52
102,involves,65
103,induced,69
104,serves,6
105,purified,22
106,failed,65
107,costs,6
108,reduced,294
109,developed,155
110,diagnose,1
111,furthermore,16
112,identifying,65
113,makes,29
114,thermogram,2
115,lost,24
116,expected,134
117,questioned,13
118,ulcerate,1
119,according,170
120,risks,4
121,become,52
122,get,13
123,saturated,5
124,mean,45
125,consume,1
126,indians,2
127,counseling,14
128,tailored,16
129,make,78
130,prevalent,1
131,nutrition,2
132,reach,14
133,allows,76
134,individualized,1
135,email,2
136,use,119
137,continues,13
138,improve,186
139,established,165
140,planned,9
141,randomised,2
142,controlled,80
143,reducing,112
144,trying,3
145,eating,23
146,required,223
147,indicated,94
148,intake,37
149,assuming,13
150,alpha,2
151,would,231
152,needed,88
153,estimated,172
154,taking,84
155,calculated,119
156,doubled,1
157,increases,69
158,implemented,48
159,build,11
160,motivate,6
161,eat,2
162,vegetables,4
163,following,307
164,structured,24
165,stages,7
166,change,33
167,attitude,2
168,selecting,2
169,validated,67
170,ffq,3
171,weighing,14
172,collecting,5
173,feedback,3
174,measured,194
175,lipoprotein,8
176,haemoglobin,1
177,fasting,42
