,nouns,freq
0,october,7
1,research,461
2,team,20
3,cheetahs,15
4,basis,73
5,method,242
6,female,16
7,cheetah,36
8,spot,8
9,pattern,81
10,caro,10
11,amp,4926
12,durant,9
13,date,113
14,time,594
15,location,59
16,addition,405
17,number,486
18,cubs,22
19,independence,17
20,litter,3
21,separation,14
22,event,57
23,sighting,4
24,litters,1
25,months,194
26,chance,29
27,laurenson,1
28,possibility,72
29,behavior,117
30,data,926
31,analysis,436
32,fieldwork,1
33,broekhuis,6
34,gopalaswamy,2
35,gps,6
36,locations,33
37,lions,9
38,tourist,12
39,vehicles,16
40,collection,39
41,effort,14
42,tracks,1
43,application,56
44,cybertracker,1
45,liebenberg,1
46,minimize,3
47,bias,57
48,allocation,14
49,equation,48
50,calculate,14
51,abundance,110
52,grid,5
53,cell,1325
54,formula,34
55,display,37
56,xml,56
57,math,80
58,mrow,235
59,index,133
60,mfrac,17
61,effect,596
62,habitat,77
63,scale,170
64,step,46
65,lion,8
66,cub,14
67,recruitment,85
68,variables,93
69,collinearity,1
70,values,296
71,none,28
72,candidate,63
73,models,417
74,support,151
75,weights,7
76,habitats,90
77,possibilities,2
78,predators,93
79,areas,261
80,cover,19
81,act,61
82,janssen,5
83,sabelis,1
84,magalhães,1
85,montserrat,1
86,hammen,4
87,species,1109
88,mortality,191
89,availability,116
90,accessibility,5
91,competition,91
92,factor,410
93,example,447
94,survival,107
95,swift,2
96,foxes,2
97,canada,17
98,mexico,18
99,refuges,10
100,coyotes,2
101,latrans,2
102,list,40
103,esque,2
104,swaisgood,2
105,burrows,13
106,concealment,4
107,desert,4
108,tortoises,2
109,maasai,7
110,mara,7
111,hayward,10
112,energy,137
113,requirements,35
114,dill,13
115,carnivores,5
116,leopards,4
117,females,61
118,rate,414
119,kleptoparasitism,7
120,success,65
121,balme,4
122,miller,143
123,pitman,4
124,hunter,11
125,vegetation,19
126,paulson,3
127,experience,47
128,predation,83
129,kleptoparastism,3
130,increases,131
131,dense,7
132,hence,47
133,role,460
134,grasslands,4
135,heterogeneity,76
136,burning,1
137,practice,116
138,tool,71
139,forage,11
140,enhance,39
141,wildlife,2
142,roloff,1
143,heath,4
144,holekamp,1
145,increase,424
146,herbivore,13
147,conversion,44
148,homogeneity,19
149,ungulates,6
150,trap,35
151,schlaepfer,3
152,runge,3
153,sherman,3
154,ecosystem,20
155,viability,59
156,population,609
157,dynamic,3
158,numbers,98
159,swanson,8
160,fact,160
161,present,42
162,study,1193
163,studies,2027
164,relationship,190
165,tiger,12
166,presence,256
167,mortalities,2
168,vehicle,12
169,collisions,2
170,tourists,9
171,evidence,462
172,russia,3
173,attraction,6
174,case,162
175,period,165
176,hunts,4
177,abandoning,4
178,kill,6
179,impact,120
180,disturbance,49
181,changes,651
182,elowe,7
183,dodge,13
184,stress,436
185,levels,487
186,turn,34
187,tuomainen,7
188,candolin,9
