,nouns,freq
0,hypothesis,199
1,experiments,201
2,tondon,1
3,sensitivity,244
4,cells,1582
5,strain,66
6,amplitudes,14
7,frequencies,112
8,explanation,207
9,contrasts,146
10,observations,255
11,value,343
12,amplitude,27
13,avoidance,35
14,model,320
15,predicts,2
16,cases,561
17,understand,5
18,recall,9
19,case,361
20,direction,35
21,time,629
22,period,246
23,results,2639
24,conclusions,56
25,tone,21
26,patients,2648
27,ischemia,37
28,atrium,3
29,paper,49
30,show,166
31,pacing,2
32,exercise,99
33,difference,904
34,concentrations,550
35,artery,55
36,conditions,298
37,axes,4
38,landmark,10
39,loops,5
40,females,123
41,oocytes,51
42,callan,1
43,stage,143
44,tropicalis,2
45,map,14
46,stages,53
47,reasons,98
48,features,96
49,procedures,56
50,section,27
51,preparation,59
52,spreads,5
53,investigators,61
54,centromeres,1
55,chromosomes,23
56,length,92
57,orientation,37
58,landmarks,3
59,differs,103
60,kobel,1
61,metaphase,2
62,chromosome,57
63,size,345
64,position,100
65,order,94
66,becomes,6
67,result,348
68,interest,23
69,reports,741
70,association,723
71,disease,428
72,discrepancy,362
73,heterogeneity,49
74,populations,253
75,differences,1241
76,genes,227
77,decrease,275
78,glucose,31
79,use,295
80,activity,737
81,injections,18
82,metabolism,62
83,measures,137
84,cholinotoxic,2
85,fact,428
86,novel,15
87,baseline,115
88,characteristics,150
89,study,5247
90,percentage,175
91,lesions,116
92,lesion,62
93,bms,3
94,group,766
95,diameter,29
96,stenosis,20
97,rate,795
98,des,6
99,lumen,4
100,loss,252
101,restenosis,1
102,mace,2
103,versus,92
104,rates,523
105,groups,436
106,followup,15
107,susceptibility,48
108,part,124
109,prevalence,375
110,hypertension,94
111,series,306
112,factor,373
113,procedure,71
114,mortality,222
115,data,1342
116,higher,4
117,death,124
118,practices,15
119,role,429
120,competence,10
121,adult,174
122,bodies,14
123,transition,51
124,mosquitoes,4
125,gene,367
126,target,99
127,martín,3
128,onset,43
129,cycle,79
130,zhu,9
131,relation,118
132,development,248
133,germanica,2
134,plays,24
135,tissue,275
136,distribution,158
137,mouse,138
138,transcripts,17
139,underexposure,2
140,blots,3
141,analysis,414
142,tissues,87
143,testis,20
144,skin,39
145,kidney,51
146,contrast,1334
147,mscs,24
148,ventricle,14
149,mice,314
150,astrocytes,9
151,brain,183
152,days,213
153,kopen,2
154,species,283
155,differentiation,136
156,transplantation,18
157,comparison,168
158,rodent,14
159,transplant,18
160,recipients,18
161,rats,254
162,inconsistent,27
163,karyotypes,3
164,recurrent,13
165,abnormality,20
166,number,628
167,parente,3
168,cgh,3
169,imbalances,7
170,dna,144
171,copy,14
172,changes,455
173,differ,68
174,areas,160
175,literature,249
176,amplifications,17
177,relationship,369
178,material,43
179,subregions,13
180,szymanska,3
181,subbands,6
182,gains,18
183,losses,18
184,arm,21
185,minimal,2
186,subregion,2
187,devoid,2
188,underrepresentations,2
189,samples,267
190,discrepancies,73
191,frequency,381
192,trisomy,9
193,mgus,2
194,monosomy,6
195,prognosis,105
196,presence,384
197,alteration,23
198,proportion,210
199,vienna,2
200,note,73
201,subset,14
202,platelet,7
203,aggregation,13
204,segments,28
205,increase,579
206,sipa,2
207,demonstrate,51
208,angiography,7
209,findings,1350
210,heart,116
211,phase,132
212,concentration,356
213,present,371
214,correlation,430
215,patient,177
216,vwf,5
217,tartaric,1
218,acid,93
219,resonance,11
220,ppm,14
221,instance,61
222,survival,257
223,probability,27
224,women,553
225,years,483
226,age,890
227,cmm,1
228,studies,3618
229,disparities,14
230,selection,84
231,bias,74
232,integrin,10
233,laminin,9
234,zhang,31
235,receptors,137
236,process,121
237,cushion,4
238,gels,8
239,migration,43
240,peptide,20
241,davis,18
242,loeber,5
243,runyan,6
244,protein,297
245,graf,24
246,ligand,8
247,macrophage,16
248,cell,770
249,line,143
250,shaw,3
251,mercurio,3
252,splice,5
253,migratory,1
254,richness,2
255,character,13
256,health,215
257,approach,65
258,effects,725
259,education,57
260,importance,99
261,effect,1067
262,men,244
263,observation,209
264,expression,960
265,levels,1231
266,layers,19
267,system,208
268,isoform,13
269,lauffart,1
270,variants,80
271,profiles,38
272,detection,109
273,muscle,279
274,report,326
275,blot,20
276,choice,26
277,primer,12
278,sets,23
279,variant,28
280,primers,6
281,test,142
282,combinations,14
283,possibility,120
284,failure,90
285,exons,4
286,distinction,17
287,isoforms,21
288,amplification,44
289,products,33
290,adjustment,55
291,nbfs,3
292,impact,88
293,race,30
294,ethnicity,27
295,category,20
296,conclusion,94
297,liposarcoma,3
298,leiomyosarcoma,1
299,categories,13
300,contradiction,48
301,schwannomas,2
302,leiomyosarcomas,1
303,phosphate,11
304,pathway,73
305,production,191
306,filosa,1
307,redox,1
308,state,151
309,morulae,2
310,blastocysts,13
311,level,378
312,embryos,30
313,resistance,161
314,stress,139
315,giacomini,1
316,downregulation,20
317,hla,10
318,allospecificities,1
319,cultures,43
320,mechanisms,125
321,reason,164
322,class,63
323,allospecificity,1
324,issue,34
325,genotype,48
326,way,51
327,outcome,116
328,situation,40
329,response,564
330,combination,99
331,authors,293
332,regimen,32
333,treatment,630
334,option,7
335,cll,3
336,prostate,64
337,figure,135
338,incidence,320
339,carcinoma,121
340,cystectomy,1
341,specimens,20
342,pathologists,5
343,bladder,31
344,involvement,89
345,evidence,449
346,risk,746
347,chd,13
348,year,127
349,post,38
350,menopause,16
351,population,573
352,infarction,26
353,mutations,168
354,mechanism,203
355,outcomes,130
356,neoplasms,8
357,lfs,2
358,cmml,3
359,lateralization,11
360,igg,16
361,agreement,159
362,immunofluorescence,14
363,plasma,167
364,amount,122
365,method,121
366,polyclonal,8
367,tumor,284
368,progression,109
369,recurrence,63
370,trial,93
371,breast,177
372,rectum,4
373,colon,43
374,cancer,590
375,deficiency,69
376,cancers,80
377,count,42
378,smoking,69
379,status,259
380,risks,55
381,lung,105
382,predictors,35
383,selenium,8
384,gel,10
385,cubes,2
386,polyacrylamide,1
387,point,110
388,precipitates,1
389,mixtures,1
390,sulfur,6
391,sulfide,1
392,barnesii,1
393,batch,5
394,medium,65
395,activation,400
396,pathways,68
397,biogenesis,2
398,angiogenesis,17
399,promotion,9
400,sdh,3
401,marker,85
402,fibers,44
403,density,106
404,support,298
405,comparisons,37
406,confirm,55
407,defects,52
408,del,11
409,iii,44
410,figs,17
411,infection,208
412,anemia,21
413,degrees,13
414,aplasia,1
415,thrombocytopenia,2
416,neutropenia,2
417,bone,268
418,marrow,58
419,examination,44
420,pronormoblasts,3
421,normoblasts,3
422,absence,168
423,giant,12
424,hosts,7
425,immunocompetent,2
426,terms,94
427,history,85
428,infections,66
429,immunoglobulin,8
430,efficacy,36
431,trials,121
432,relevance,17
433,cfr,1
434,subjects,348
435,fields,8
436,units,42
437,locations,27
438,preparations,18
439,cats,17
440,majority,105
441,sound,10
442,ears,8
443,zook,1
444,barbiturate,1
445,anesthetics,2
446,inhibition,165
447,sites,99
448,pregnancies,37
449,weeks,198
450,values,616
451,moms,2
452,tests,66
453,multicenter,3
454,suruss,3
455,controls,218
456,evaluation,60
457,amino,27
458,interpretation,55
459,gonzales,3
460,individuals,327
461,substitutions,2
462,transmission,33
463,postmortem,11
464,properties,61
465,voss,2
466,impedance,4
467,magnitude,85
468,bones,32
469,match,19
470,eardrum,1
471,reduction,279
472,respect,52
473,borderline,4
474,bmb,8
475,rule,42
476,proposal,16
477,khan,5
478,berthet,4
479,precludes,8
480,considers,6
481,approaches,47
482,addition,319
483,distinct,5
484,kostakoglu,4
485,advise,4
486,hand,216
487,gfp,2
488,stroma,6
489,lineages,10
490,existence,21
491,antigen,34
492,cornea,3
493,hamrah,2
494,yamagami,2
495,dendritic,8
496,ggddqfddyghmrfamide,1
497,sulfakinin,1
498,form,94
499,fddyghmrfamide,1
500,experiment,85
501,identify,19
502,peptides,58
503,drosophila,13
504,stimulation,175
505,cramp,4
506,events,126
507,patterns,97
508,roeleveld,1
509,change,263
510,focus,16
511,cramps,3
512,accuracy,77
513,recordings,12
514,surface,116
515,emg,2
516,technique,83
517,muaps,1
518,fetuses,8
519,hypoplasia,2
520,measurement,56
521,patch,19
522,work,257
523,morbidity,22
524,improvement,111
525,function,256
526,lunde,1
527,months,264
528,endpoints,9
529,schachinger,1
530,ejection,7
531,fraction,48
532,nodes,82
533,lipomatosis,3
534,reactive,5
535,hyperplasia,18
536,causes,16
537,images,32
538,lymph,49
539,minutes,34
540,accumulation,81
541,area,173
542,ground,9
543,substance,27
544,contradicts,40
545,wound,9
546,investigator,2
547,subpopulation,4
548,researchers,36
549,muscles,48
550,innervation,5
551,ishii,1
552,functions,61
553,rodents,22
554,actions,28
555,receptor,123
556,affinity,37
557,florini,1
558,chicken,6
559,type,355
560,igf,1
561,duclos,1
562,dyspepsia,4
563,designs,12
564,range,262
565,estimates,70
566,definition,27
567,symptoms,231
568,motif,8
569,clones,13
570,chains,8
571,reading,10
572,frame,4
573,replacement,31
574,indication,25
575,lymphocyte,10
576,depletion,25
577,therapy,145
578,benefit,38
579,autoimmunity,15
580,autoantibody,6
581,autoimmune,18
582,diseases,31
583,drop,18
584,exception,35
585,children,422
586,serum,170
587,classes,19
588,progenitors,10
589,serologic,1
590,crp,41
591,removal,28
592,effector,17
593,inflammatory,22
594,responders,21
595,nonresponders,10
596,drops,5
597,performance,178
598,cartilage,28
599,field,87
600,strengths,2
601,specificity,95
602,reader,1
603,whereas,181
604,flow,46
605,volume,95
606,play,24
607,ratio,184
608,aif,1
609,doses,84
610,secretion,100
611,prevents,9
612,favors,2
613,phenotype,80
614,increases,147
615,macrophages,50
616,capacity,98
617,interacts,6
618,hydrogen,16
619,bonds,7
620,side,67
621,binding,32
622,achymotrypsin,1
623,hibbard,1
624,amp,458
625,tulinsky,1
626,none,102
627,nature,49
628,denaturation,4
629,get,9
630,insight,3
631,action,94
632,cohort,223
633,fjx,4
634,bud,5
635,detail,11
636,observe,75
637,rock,2
638,ifn,11
639,alfa,2
640,times,140
641,day,159
642,placebo,19
643,regard,26
644,dryness,3
645,sem,2
646,sws,1
647,mean,82
648,end,39
649,fat,51
650,diabetes,141
651,mobilization,11
652,storage,32
653,medications,28
654,deletions,31
655,moon,3
656,capecchi,3
657,limbs,8
658,dose,74
659,morphogenesis,4
660,digits,3
661,chondrogenesis,6
662,forelimb,4
663,mutant,19
664,ndings,11
665,notion,31
666,peers,10
667,associations,164
668,see,41
669,eccles,4
670,fredricks,3
671,variables,82
672,mediation,6
673,models,181
674,ones,62
675,morikawa,1
676,significance,75
677,imbalance,7
678,tumors,177
679,dataset,6
680,region,218
681,haferlach,1
682,investigation,107
683,wilms,1
684,link,12
685,dipole,2
686,mask,4
687,quantification,18
688,interferon,9
689,ribavirin,4
690,markers,141
691,treg,29
692,jansen,1
693,ttp,4
694,tamoxifen,5
695,concordance,10
696,classifiers,1
697,classification,48
698,lactate,7
699,transporters,4
700,viability,16
701,tumour,33
702,growth,221
703,ablation,9
704,impair,8
705,lines,138
706,doctor,2
707,antioxidant,6
708,ast,10
709,animals,199
710,administration,128
711,protection,36
712,den,2
713,alt,8
714,relapses,5
715,withdrawal,16
716,periods,57
717,maintenance,52
718,syndromes,2
719,media,33
720,synthesis,102
721,transcription,48
722,mrna,114
723,relative,10
724,induction,120
725,reta,1
726,chondrocytes,27
727,culture,81
728,head,60
729,explants,4
730,assays,30
731,occurring,3
732,variety,43
733,methods,151
734,source,79
735,difficulty,37
736,standardization,4
737,families,51
738,mothers,27
739,diagnosis,157
740,liability,5
741,probands,4
742,family,97
743,relatives,22
744,registry,19
745,essioux,1
746,moreover,51
747,penetrances,2
748,ifny,2
749,thl,1
750,helper,1
751,cytokines,55
752,sequences,56
753,numbers,151
754,severity,101
755,variability,112
756,variation,143
757,basis,89
758,ketoprofen,1
759,lack,185
760,drug,85
761,quartile,1
762,respond,14
763,enantiomers,2
764,drugs,44
765,phenomenon,48
766,center,32
767,proportions,23
768,rod,3
769,buhre,2
770,colleagues,91
771,star,4
772,base,23
773,management,45
774,drawback,2
775,cross,7
776,design,71
777,control,363
778,rat,137
779,excretion,33
780,diabetics,4
781,nondiabetics,1
782,consequent,3
783,shortage,2
784,necrosis,29
785,medication,49
786,resection,38
787,extent,65
788,benefits,38
789,survivorship,9
790,need,24
791,trend,134
792,reveal,22
793,atrt,2
794,regions,144
795,sras,4
796,sra,2
797,amplicon,2
798,platform,15
799,spans,3
800,resolution,22
801,hence,30
802,subtype,24
803,amplicons,1
804,protocol,37
805,krššák,1
806,fatty,1
807,acids,56
808,hyperinsulinemia,1
809,alter,7
810,imcl,3
811,content,189
812,pair,6
813,radiologist,5
814,radiologists,6
815,vertebra,8
816,occasions,8
817,habits,23
818,menstruation,2
819,jorge,1
820,techniques,64
821,noise,4
822,epi,3
823,flip,5
824,angles,8
825,hypocalcemia,11
826,transient,23
827,endo,5
828,measurements,121
829,provide,9
830,information,190
831,bisphosphonate,4
832,activates,6
833,systems,119
834,metabolites,31
835,hypermobility,3
836,participants,218
837,criteria,85
838,decline,56
839,laxity,5
840,decade,26
