,verbs,freq
0,remodeling,12
1,considered,151
2,mmp,2
3,overexpressed,27
4,leading,107
5,vitro,44
6,reported,2649
7,retinoic,2
8,demonstrated,567
9,james,1
10,may,1353
11,therapeutic,1
12,studied,107
13,correlated,185
14,grade,38
15,showed,885
16,observed,1527
17,due,90
18,analysed,16
19,noted,195
20,associated,748
21,agree,67
22,consider,28
23,evaluated,65
24,regards,1
25,mean,57
26,causing,29
27,increase,115
28,reducing,49
29,shown,1095
30,added,34
31,modifying,3
32,restoring,1
33,estimated,86
34,found,1789
35,paradigms,1
36,induced,252
37,caused,99
38,physiology,2
39,believed,20
40,lined,2
41,study,598
42,lining,1
43,expressed,203
44,staining,70
45,overlying,2
46,described,500
47,using,687
48,believe,38
49,truncated,13
50,expected,206
51,indicating,208
52,could,648
53,explain,71
54,linked,67
55,apc,3
56,rubinfeld,1
57,benign,1
58,weight,79
59,suggesting,351
60,stems,11
61,tko,1
62,confirmed,373
63,taken,135
64,imply,16
65,increases,43
66,occurs,98
67,data,47
68,showing,440
69,prevents,6
70,provide,120
71,lacking,10
72,seems,102
73,cell,122
74,influenced,52
75,promote,23
76,implying,14
77,presented,177
78,known,238
79,consume,5
80,alsa,1
81,injected,13
82,intake,78
83,compared,745
84,know,7
85,made,129
86,makes,24
87,view,13
88,propounded,1
89,would,329
90,obtained,489
91,excludes,1
92,perfect,2
93,eating,30
94,accompanying,11
95,spp,12
96,seen,337
97,binge,14
98,resembles,11
99,including,334
100,diminished,29
101,feeling,13
102,controlled,29
103,sherry,3
104,klein,1
105,need,55
106,viewed,13
107,encompasses,1
108,underlying,42
109,engage,4
110,used,552
111,analyses,52
112,foreclosing,1
113,bandura,1
114,conceptualized,1
115,conducted,80
116,influence,29
117,indicate,178
118,assessed,50
119,hewitt,3
120,gosling,2
121,measures,10
122,depressive,1
123,depend,27
124,unfolding,2
125,coping,9
126,created,9
127,stand,5
128,extend,72
129,esteem,2
130,predicting,21
131,disordered,10
132,relevant,4
133,join,1
134,exhibits,4
135,haring,2
136,specific,7
137,give,20
138,europeans,6
139,living,18
140,patterns,11
141,speculated,19
142,advanced,25
143,reviewed,43
144,spreading,26
145,prolonged,31
146,supports,76
147,put,16
148,play,47
149,supported,165
150,proteins,65
151,involved,195
152,regulating,32
153,suggested,283
154,facilitating,8
155,margheri,1
156,suggest,383
157,healing,44
158,furthermore,34
159,breast,20
160,transfected,28
161,appears,142
162,tumours,12
163,initiated,9
164,closed,18
165,takes,12
166,lisberger,1
167,cited,16
168,suited,2
169,saccades,3
170,operate,8
171,proposed,159
172,amp,54
173,modulated,27
174,focusing,8
175,stabilizing,12
176,learning,47
177,grossberg,1
178,grown,8
179,produce,55
180,protein,57
181,gave,29
182,aami,3
183,satisfied,3
184,monitor,3
185,measuring,36
186,colin,3
187,performing,14
188,diastolic,2
189,failed,69
190,satisfy,2
191,continues,3
192,regarded,11
193,recording,10
194,allows,32
195,done,66
196,sample,17
197,cape,1
198,peninsula,1
199,see,166
200,overexpression,8
201,chahed,2
202,escc,2
203,finding,505
204,crt,3
205,supporting,135
206,binding,199
207,formed,90
208,oriented,19
209,hint,2
210,shows,135
211,separated,16
212,modeled,7
213,provides,71
214,amantadine,3
215,confer,8
216,reduce,100
217,make,48
218,confirm,182
219,constricted,6
220,providing,69
221,keeping,62
222,gained,4
223,overshadowing,2
224,predicted,118
225,following,257
226,assigned,12
227,conducting,7
228,triangular,1
229,increasing,173
230,training,16
231,overcome,5
232,attaching,8
233,blocking,16
234,mackintosh,2
235,applying,14
236,reasoning,5
237,overshadowed,6
238,shortcoming,1
239,show,306
240,suspended,1
241,provided,100
242,housed,2
243,failure,3
244,acting,15
245,amplified,7
246,confirming,115
247,given,152
248,harboring,5
249,screening,79
250,discrepancy,2
251,based,284
252,sensitive,16
253,copy,1
254,octane,2
255,ring,36
256,protonated,22
257,seem,55
258,reached,38
259,esca,2
260,charged,37
261,stabilize,4
262,located,64
263,indicated,210
264,exhibited,63
265,priming,18
266,suggests,259
267,existing,44
268,facilitates,13
269,requires,46
270,selection,4
271,attended,3
272,gauged,4
273,lochmann,2
274,mitchell,9
275,noting,11
276,learned,13
277,addressed,23
278,recorded,107
279,measured,252
280,related,247
281,peaking,2
282,width,2
283,excited,6
284,agrees,70
285,model,36
286,corresponding,68
287,coupled,50
288,fast,2
289,relative,6
290,performed,166
291,pairs,2
292,absorbing,3
293,loci,9
294,containing,126
295,implicated,34
296,dedifferentiated,3
297,accompanied,52
298,seemed,24
299,limited,50
300,upregulating,2
301,detected,280
302,corresponded,11
303,summary,4
304,farinacea,2
305,lichen,2
306,relaxing,2
307,activation,19
308,argued,22
309,surrounding,17
310,shear,5
311,discussed,42
312,rearranging,2
313,find,104
314,hold,21
315,picture,1
