,bigrams,freq
0,"('contrast', 'effect')",21
1,"('contrast', 'cells')",31
2,"('contrast', 'found')",121
3,"('effect', 'cells')",25
4,"('effect', 'found')",22
5,"('effect', 'significant')",16
6,"('granulocytic', 'cells')",3
7,"('cells', 'found')",37
8,"('cells', 'significant')",10
9,"('cells', 'differentiation')",7
10,"('found', 'significant')",79
11,"('found', 'differentiation')",3
12,"('significant', 'expression')",18
13,"('differentiation', 'cells')",6
14,"('antigen', 'expression')",8
15,"('antigen', 'cells')",12
16,"('expression', 'cells')",92
17,"('expression', 'although')",16
18,"('cells', 'expressing')",21
19,"('cells', 'although')",24
20,"('cells', 'observe')",7
21,"('although', 'observe')",7
22,"('although', 'significant')",21
23,"('observe', 'significant')",24
24,"('significant', 'evidence')",9
25,"('evidence', 'expression')",7
26,"('whether', 'expression')",3
27,"('expression', 'decreases')",3
28,"('expression', 'expression')",33
29,"('expression', 'however')",27
30,"('increases', 'decreases')",3
31,"('increases', 'expression')",3
32,"('increases', 'however')",5
33,"('increases', 'observed')",6
34,"('decreases', 'expression')",3
35,"('decreases', 'observed')",4
36,"('expression', 'observed')",20
37,"('expression', 'effects')",3
38,"('however', 'observed')",80
39,"('however', 'effects')",32
40,"('however', 'context')",5
41,"('observed', 'effects')",5
42,"('observed', 'context')",3
43,"('observed', 'frequently')",3
44,"('effects', 'context')",3
45,"('effects', 'associated')",3
46,"('frequently', 'associated')",9
47,"('associated', 'expression')",12
48,"('expression', 'inhibition')",4
49,"('lymphoid', 'antigens')",3
50,"('possibility', 'observed')",5
51,"('inhibition', 'proliferation')",5
52,"('inhibition', 'observed')",12
53,"('inhibition', 'expression')",20
54,"('proliferation', 'observed')",8
55,"('observed', 'expression')",7
56,"('expression', 'death')",3
57,"('apoptotic', 'death')",5
58,"('apoptotic', 'cells')",16
59,"('apoptotic', 'however')",5
60,"('death', 'cells')",21
61,"('death', 'however')",14
62,"('death', 'found')",3
63,"('cells', 'development')",6
64,"('cells', 'however')",53
65,"('cells', 'evidence')",6
66,"('development', 'however')",7
67,"('however', 'found')",150
68,"('however', 'evidence')",23
69,"('however', 'support')",33
70,"('however', 'terms')",10
71,"('found', 'evidence')",78
72,"('found', 'support')",11
73,"('found', 'terms')",3
74,"('found', 'frequency')",11
75,"('evidence', 'support')",15
76,"('support', 'frequency')",4
77,"('cells', 'agreement')",5
78,"('cells', 'previous')",22
79,"('cells', 'observations')",4
80,"('agreement', 'previous')",37
