,verbs,freq
0,suggests,296
1,biosynthesis,1
2,reduced,385
3,supported,205
4,could,591
5,occurring,29
6,connecting,7
7,estimated,99
8,mol,5
9,measured,202
10,derived,110
11,challenge,1
12,lengths,1
13,exploited,1
14,treated,156
15,reported,2656
16,agree,82
17,showing,368
18,vitro,22
19,inos,9
20,resulting,118
21,plays,38
22,killing,25
23,generated,45
24,lysates,5
25,investigated,76
26,mirrored,2
27,showed,704
28,found,1766
29,cytotoxic,7
30,μmol,4
31,assay,72
32,confirmed,344
33,observed,1625
34,mouse,33
35,nurd,1
36,used,513
37,phosphate,6
38,ferryl,1
39,meng,1
40,made,138
41,recorded,50
42,modeled,4
43,peroxidases,1
44,coordinated,5
45,may,1403
46,make,21
47,obtained,571
48,harmonic,1
49,study,458
50,shown,1162
51,expected,304
52,including,393
53,barrier,1
54,brings,1
55,indicated,159
56,figure,112
57,sizes,30
58,existing,32
59,ace,3
60,aldosterone,2
61,digoxin,1
62,suggesting,387
63,published,253
64,change,34
65,applying,10
66,physicians,2
67,evaluated,54
68,associated,755
69,absolute,8
70,scores,22
71,focused,16
72,mortality,2
73,hyponatremia,2
74,preserved,15
75,admitted,16
76,followed,93
77,demonstrated,479
78,died,21
79,crude,1
80,compared,732
81,reduce,61
82,improve,23
83,given,172
84,bartekova,2
85,postconditioning,2
86,mistaken,1
87,acute,18
88,explained,112
89,presenting,18
90,sinus,2
91,increased,799
92,wave,6
93,cure,1
94,suffered,17
95,limited,43
96,solve,1
97,gave,41
98,fulfilled,3
99,proposed,169
100,based,241
101,diagnosed,22
102,oxidized,17
103,supporting,166
104,coli,8
105,lacking,38
106,underscoring,3
107,observe,25
108,would,422
109,indicate,213
110,sred,1
111,preference,1
112,cultured,48
113,mitochondria,2
114,modified,35
115,undergoing,44
116,note,24
117,recipients,3
118,achieved,68
119,decline,19
120,finding,574
121,following,274
122,known,184
123,differ,49
124,decreased,268
125,switching,8
126,attributed,101
127,deposited,5
128,caused,152
129,domains,31
130,allow,17
131,opening,39
132,gating,14
133,shifts,6
134,lack,47
135,suggested,319
136,pointed,28
137,domain,12
138,presented,178
139,developing,89
140,likewise,5
141,enrolling,1
142,recording,19
143,considered,133
144,activated,160
145,ampk,1
146,believed,23
147,berberine,1
148,revealed,226
149,promoted,15
150,glucose,16
151,involving,55
152,noted,186
153,established,70
154,defining,13
155,correlated,158
156,verifying,2
157,named,2
158,bear,5
159,regard,16
160,demonstrating,128
161,seen,332
162,singleton,1
163,born,16
164,described,485
165,child,5
166,result,182
167,feature,5
168,related,241
169,sasa,2
170,suggest,399
171,solution,12
172,collapsed,10
173,corresponding,154
174,point,23
175,show,263
176,charged,36
177,extracted,18
178,summarized,34
179,exposing,11
180,see,238
181,binding,362
182,located,105
183,mpsee,1
184,might,370
185,explain,87
186,oligomerization,1
187,facilitate,4
188,coined,1
189,redirecting,1
190,dqlgkn,1
191,confirm,171
192,modelling,6
193,shows,94
194,promoting,20
195,driving,42
196,rudkevich,2
197,occurs,103
198,suppressed,31
199,substrate,8
200,surface,11
201,annealing,8
202,rearranged,3
203,appears,158
204,calculated,79
205,corroborated,15
206,aspect,5
207,produced,207
208,means,49
209,increasing,196
210,reaching,17
211,indented,2
212,compare,17
213,alternating,11
214,shape,13
215,relate,6
216,contrast,64
217,strain,14
218,sliding,6
219,interlocking,12
220,hardening,7
221,wedging,6
222,nanograin,6
223,indicating,284
224,coating,4
225,increase,126
226,whispering,2
227,limiting,18
228,tmlike,2
229,cows,8
230,must,70
231,feeding,26
232,fasting,9
233,intake,81
234,nonesterified,1
235,libitum,4
